chunk,threads,setsize,time
1000,2,4,0.001000
1000,2,4,0.001000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.001000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.001000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,12,0.000000
1000,2,12,0.001000
1000,2,12,0.000000
1000,2,12,0.001000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.002000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.000000
1000,2,24,0.004000
1000,2,24,0.002000
1000,2,24,0.000000
1000,2,24,0.007000
1000,2,24,0.001000
1000,2,24,0.001000
1000,2,24,0.001000
1000,2,24,0.006000
1000,2,24,0.000000
1000,2,24,0.000000
1000,2,28,0.000000
1000,2,28,0.005000
1000,2,28,0.002000
1000,2,28,0.001000
1000,2,28,0.006000
1000,2,28,0.006000
1000,2,28,0.004000
1000,2,28,0.000000
1000,2,28,0.004000
1000,2,28,0.002000
1000,2,32,0.012000
1000,2,32,0.020000
1000,2,32,0.002000
1000,2,32,0.066000
1000,2,32,0.020000
1000,2,32,0.010000
1000,2,32,0.013000
1000,2,32,0.004000
1000,2,32,0.024000
1000,2,32,0.025000
1000,2,36,0.077000
1000,2,36,0.009000
1000,2,36,0.125000
1000,2,36,0.079000
1000,2,36,0.006000
1000,2,36,0.006000
1000,2,36,0.219000
1000,2,36,0.056000
1000,2,36,0.080000
1000,2,36,0.074000
1000,2,40,0.656000
1000,2,40,0.360000
1000,2,40,0.008000
1000,2,40,1.397000
1000,2,40,0.178000
1000,2,40,0.184000
1000,2,40,0.447000
1000,2,40,0.163000
1000,2,40,1.062000
1000,2,40,0.131000
1000,2,44,3.821000
1000,2,44,0.124000
1000,2,44,0.391000
1000,2,44,14.565000
1000,2,44,0.544000
1000,2,44,0.555000
1000,2,44,0.147000
1000,2,44,3.157000
1000,2,44,2.147000
1000,2,44,1.473000
1000,2,48,0.517000
1000,2,48,5.197000
1000,2,48,3.484000
1000,2,48,0.344000
1000,2,48,16.056000
1000,2,48,7.707000
1000,2,48,5.436000
1000,2,48,4.621000
1000,2,48,5.428000
1000,2,48,4.724000
1000,2,52,62.564000
1000,2,52,7.699000
1000,2,52,23.705000
1000,2,52,4.213000
