threads,setsize,time
1,4,0.001000
1,4,0.001000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.001000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.001000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.001000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,4,0.000000
1,8,0.001000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,8,0.001000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,8,0.001000
1,8,0.000000
1,8,0.001000
1,8,0.000000
1,8,0.000000
1,8,0.001000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,8,0.001000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,8,0.001000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,8,0.000000
1,12,0.001000
1,12,0.000000
1,12,0.000000
1,12,0.001000
1,12,0.001000
1,12,0.000000
1,12,0.001000
1,12,0.000000
1,12,0.000000
1,12,0.000000
1,12,0.000000
1,12,0.002000
1,12,0.000000
1,12,0.000000
1,12,0.001000
1,12,0.000000
1,12,0.000000
1,12,0.001000
1,12,0.000000
1,12,0.000000
1,12,0.001000
1,12,0.000000
1,12,0.001000
1,12,0.000000
1,12,0.000000
1,12,0.000000
1,12,0.000000
1,12,0.000000
1,12,0.000000
1,12,0.001000
1,16,0.000000
1,16,0.001000
1,16,0.000000
1,16,0.003000
1,16,0.000000
1,16,0.001000
1,16,0.000000
1,16,0.001000
1,16,0.000000
1,16,0.001000
1,16,0.000000
1,16,0.000000
1,16,0.001000
1,16,0.000000
1,16,0.001000
1,16,0.007000
1,16,0.001000
1,16,0.000000
1,16,0.000000
1,16,0.001000
1,16,0.000000
1,16,0.001000
1,16,0.001000
1,16,0.000000
1,16,0.001000
1,16,0.002000
1,16,0.000000
1,16,0.000000
1,16,0.000000
1,16,0.000000
1,20,0.001000
1,20,0.000000
1,20,0.001000
1,20,0.001000
1,20,0.000000
1,20,0.001000
1,20,0.001000
1,20,0.000000
1,20,0.000000
1,20,0.000000
1,20,0.002000
1,20,0.000000
1,20,0.001000
1,20,0.000000
1,20,0.001000
1,20,0.001000
1,20,0.001000
1,20,0.001000
1,20,0.001000
1,20,0.000000
1,20,0.007000
1,20,0.000000
1,20,0.001000
1,20,0.001000
1,20,0.001000
1,20,0.000000
1,20,0.001000
1,20,0.000000
1,20,0.001000
1,20,0.000000
1,24,0.005000
1,24,0.003000
1,24,0.003000
1,24,0.024000
1,24,0.002000
1,24,0.005000
1,24,0.000000
1,24,0.003000
1,24,0.000000
1,24,0.001000
1,24,0.003000
1,24,0.002000
1,24,0.002000
1,24,0.018000
1,24,0.001000
