chunk,threads,setsize,time
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.001000
10,2,16,0.000000
10,2,16,0.002000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.001000
10,2,20,0.001000
10,2,20,0.000000
10,2,20,0.001000
10,2,20,0.000000
10,2,20,0.001000
10,2,24,0.001000
10,2,24,0.001000
10,2,24,0.000000
10,2,24,0.004000
10,2,24,0.000000
10,2,28,0.003000
10,2,28,0.019000
10,2,28,0.004000
10,2,28,0.003000
10,2,28,0.005000
10,2,32,0.024000
10,2,32,0.005000
10,2,32,0.024000
10,2,32,0.002000
10,2,32,0.014000
10,2,36,0.061000
10,2,36,0.123000
10,2,36,0.014000
10,2,36,0.103000
10,2,36,0.060000
10,2,40,0.680000
10,2,40,1.004000
10,2,40,0.123000
10,2,40,0.048000
10,2,40,0.851000
10,2,44,0.429000
10,2,44,7.925000
10,2,44,1.686000
10,2,44,1.840000
10,2,44,2.368000
10,2,48,33.846000
10,2,48,9.235000
10,2,48,7.117000
10,2,48,8.535000
10,2,48,12.540000
10,2,52,1.245000
10,2,52,15.471000
10,2,52,5.519000
10,2,52,32.027000
10,2,52,22.141000
10,4,4,0.000000
10,4,4,0.000000
10,4,4,0.000000
10,4,4,0.001000
10,4,4,0.000000
10,4,8,0.000000
10,4,8,0.000000
10,4,8,0.001000
10,4,8,0.000000
10,4,8,0.001000
10,4,12,0.000000
10,4,12,0.001000
10,4,12,0.000000
10,4,12,0.000000
10,4,12,0.001000
10,4,16,0.000000
10,4,16,0.000000
10,4,16,0.000000
10,4,16,0.000000
10,4,16,0.000000
10,4,20,0.001000
10,4,20,0.001000
10,4,20,0.000000
10,4,20,0.000000
10,4,20,0.002000
10,4,24,0.000000
10,4,24,0.001000
10,4,24,0.000000
10,4,24,0.002000
10,4,24,0.000000
10,4,28,0.002000
10,4,28,0.013000
10,4,28,0.004000
10,4,28,0.002000
10,4,28,0.005000
10,4,32,0.014000
10,4,32,0.004000
10,4,32,0.016000
10,4,32,0.001000
10,4,32,0.010000
10,4,36,0.042000
10,4,36,0.077000
10,4,36,0.011000
10,4,36,0.069000
10,4,36,0.043000
10,4,40,0.435000
10,4,40,0.629000
10,4,40,0.085000
10,4,40,0.034000
10,4,40,0.545000
10,4,44,0.270000
10,4,44,5.203000
10,4,44,1.072000
10,4,44,1.235000
10,4,44,1.580000
10,4,48,22.081000
10,4,48,6.004000
10,4,48,4.740000
10,4,48,5.606000
10,4,48,8.257000
10,4,52,0.812000
10,4,52,10.165000
10,4,52,3.662000
10,4,52,21.740000
10,4,52,14.448000
100,2,4,0.001000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,8,0.001000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.001000
100,2,16,0.000000
100,2,16,0.000000
100,2,16,0.001000
100,2,16,0.001000
100,2,16,0.001000
100,2,20,0.001000
100,2,20,0.001000
100,2,20,0.000000
100,2,20,0.000000
100,2,20,0.001000
100,2,24,0.001000
100,2,24,0.002000
100,2,24,0.000000
100,2,24,0.004000
100,2,24,0.000000
100,2,28,0.003000
100,2,28,0.022000
100,2,28,0.005000
100,2,28,0.003000
100,2,28,0.007000
100,2,32,0.020000
100,2,32,0.005000
100,2,32,0.021000
100,2,32,0.001000
100,2,32,0.013000
100,2,36,0.060000
100,2,36,0.118000
100,2,36,0.014000
100,2,36,0.097000
100,2,36,0.064000
100,2,40,0.658000
100,2,40,0.886000
100,2,40,0.125000
100,2,40,0.047000
100,2,40,0.794000
100,2,44,0.385000
100,2,44,7.669000
100,2,44,1.578000
100,2,44,1.830000
100,2,44,2.349000
100,2,48,33.065000
100,2,48,8.937000
100,2,48,7.021000
100,2,48,8.234000
100,2,48,12.271000
100,2,52,1.153000
100,2,52,14.955000
100,2,52,5.486000
100,2,52,31.289000
100,2,52,21.299000
100,4,4,0.001000
100,4,4,0.000000
100,4,4,0.000000
100,4,4,0.000000
100,4,4,0.000000
100,4,8,0.001000
100,4,8,0.000000
100,4,8,0.001000
100,4,8,0.000000
100,4,8,0.000000
100,4,12,0.000000
100,4,12,0.000000
100,4,12,0.001000
100,4,12,0.000000
100,4,12,0.000000
100,4,16,0.001000
