chunk,threads,setsize,time
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.002000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.002000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.001000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.002000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.000000
10,2,16,0.002000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.001000
10,2,16,0.000000
10,2,20,0.000000
10,2,20,0.001000
10,2,20,0.002000
10,2,20,0.004000
10,2,20,0.001000
10,2,20,0.000000
10,2,20,0.000000
10,2,20,0.001000
10,2,20,0.007000
10,2,20,0.000000
10,2,20,0.000000
10,2,20,0.001000
10,2,20,0.001000
10,2,20,0.001000
10,2,20,0.000000
10,2,20,0.001000
10,2,20,0.000000
10,2,20,0.000000
10,2,20,0.001000
10,2,20,0.000000
10,2,20,0.001000
10,2,20,0.001000
10,2,20,0.000000
10,2,20,0.001000
10,2,20,0.001000
10,2,20,0.001000
10,2,20,0.000000
10,2,20,0.001000
10,2,20,0.001000
10,2,20,0.000000
10,2,24,0.001000
10,2,24,0.000000
10,2,24,0.002000
10,2,24,0.002000
10,2,24,0.004000
10,2,24,0.001000
10,2,24,0.000000
10,2,24,0.002000
10,2,24,0.002000
10,2,24,0.002000
10,2,24,0.000000
10,2,24,0.000000
10,2,24,0.002000
10,2,24,0.003000
10,2,24,0.000000
10,2,24,0.000000
10,2,24,0.003000
10,2,24,0.000000
10,2,24,0.001000
10,2,24,0.003000
10,2,24,0.002000
10,2,24,0.003000
10,2,24,0.005000
10,2,24,0.013000
10,2,24,0.005000
10,2,24,0.001000
10,2,24,0.000000
10,2,24,0.000000
10,2,24,0.000000
10,2,24,0.001000
10,2,28,0.004000
10,2,28,0.004000
10,2,28,0.007000
10,2,28,0.011000
10,2,28,0.006000
10,2,28,0.001000
10,2,28,0.006000
10,2,28,0.001000
10,2,28,0.003000
10,2,28,0.001000
10,2,28,0.007000
10,2,28,0.001000
10,2,28,0.000000
10,2,28,0.001000
10,2,28,0.008000
10,2,28,0.015000
10,2,28,0.002000
10,2,28,0.012000
10,2,28,0.003000
10,2,28,0.005000
10,2,28,0.015000
10,2,28,0.004000
10,2,28,0.001000
10,2,28,0.007000
10,2,28,0.010000
10,2,28,0.000000
10,2,28,0.007000
10,2,28,0.005000
10,2,28,0.003000
10,2,28,0.001000
10,2,32,0.039000
10,2,32,0.131000
10,2,32,0.026000
10,2,32,0.005000
10,2,32,0.012000
10,2,32,0.013000
10,2,32,0.002000
10,2,32,0.001000
10,2,32,0.012000
10,2,32,0.001000
10,2,32,0.017000
10,2,32,0.002000
10,2,32,0.018000
10,2,32,0.020000
10,2,32,0.009000
10,2,32,0.015000
10,2,32,0.025000
10,2,32,0.014000
10,2,32,0.028000
10,2,32,0.106000
10,2,32,0.051000
10,2,32,0.004000
10,2,32,0.070000
10,2,32,0.014000
10,2,32,0.010000
10,2,32,0.015000
10,2,32,0.018000
10,2,32,0.052000
10,2,32,0.017000
10,2,32,0.217000
10,2,36,0.559000
10,2,36,0.041000
10,2,36,0.017000
10,2,36,0.120000
10,2,36,0.003000
10,2,36,1.233000
10,2,36,0.155000
10,2,36,0.010000
10,2,36,0.335000
10,2,36,0.077000
10,2,36,0.086000
10,2,36,0.075000
10,2,36,0.022000
10,2,36,0.057000
10,2,36,0.213000
10,2,36,0.104000
10,2,36,0.045000
10,2,36,0.093000
10,2,36,0.337000
10,2,36,0.080000
10,2,36,0.034000
10,2,36,0.084000
10,2,36,0.006000
10,2,36,0.000000
10,2,36,0.225000
10,2,36,0.192000
