file,replication,elapsed_time,quality,items
a10000.lia,1,35.372087898,179441,10000
a10000.lia,2,45.315096946,179287,10000
a10000.lia,3,39.296358552,179587,10000
a10000.lia,4,38.167361353,177707,10000
a10000.lia,5,44.252996803,178863,10000
a10000.lia,6,39.506244429,179111,10000
a10000.lia,7,47.335127051,178100,10000
a10000.lia,8,40.369902418,174895,10000
a10000.lia,9,29.674334366,182035,10000
a10000.lia,10,53.345904858,178042,10000
a10000.lia,11,44.768161209,180410,10000
a10000.lia,12,39.22565705,180265,10000
a10000.lia,13,37.361047958,177993,10000
a10000.lia,14,43.823005672,179251,10000
a10000.lia,15,40.850968869,177611,10000
a10000.lia,16,40.964092958,178185,10000
a10000.lia,17,39.141218603,178107,10000
a10000.lia,18,37.942552732,178435,10000
a10000.lia,19,54.039452772,179106,10000
a10000.lia,20,38.920778464,179597,10000
a10000.lia,21,35.579124596,180477,10000
a10000.lia,22,43.260592615,180105,10000
a10000.lia,23,45.199061735,178474,10000
a10000.lia,24,42.262331666,175165,10000
a10000.lia,25,43.314226608,177835,10000
a10000.lia,26,45.248104332,181215,10000
a10000.lia,27,40.217973553,179683,10000
a10000.lia,28,44.399281832,177549,10000
a10000.lia,29,40.294609132,177542,10000
a10000.lia,30,36.804322631,179088,10000
a1000.lia,1,0.274699027,17701,1000
a1000.lia,2,0.187562399,16956,1000
a1000.lia,3,0.21724762,18434,1000
a1000.lia,4,0.120528928,16938,1000
a1000.lia,5,0.154259547,16968,1000
a1000.lia,6,0.132415435,18223,1000
a1000.lia,7,0.174005768,17600,1000
a1000.lia,8,0.156563786,17263,1000
a1000.lia,9,0.11522832,16594,1000
a1000.lia,10,0.214396002,16815,1000
a1000.lia,11,0.255402226,17779,1000
a1000.lia,12,0.199617752,18460,1000
a1000.lia,13,0.237339723,17640,1000
a1000.lia,14,0.162137291,18355,1000
a1000.lia,15,0.186060851,17183,1000
a1000.lia,16,0.181870823,16924,1000
a1000.lia,17,0.210231612,18073,1000
a1000.lia,18,0.199336589,16749,1000
a1000.lia,19,0.226596097,18776,1000
a1000.lia,20,0.213746419,16876,1000
a1000.lia,21,0.266810889,17994,1000
a1000.lia,22,0.153285244,17699,1000
a1000.lia,23,0.20354367,18556,1000
a1000.lia,24,0.172442096,17908,1000
a1000.lia,25,0.263360496,17242,1000
a1000.lia,26,0.253121717,18321,1000
a1000.lia,27,0.146484865,17852,1000
a1000.lia,28,0.175801822,17457,1000
a1000.lia,29,0.165136499,16514,1000
a1000.lia,30,0.174963341,17396,1000
a100.lia,1,0.002103669,1650,100
a100.lia,2,0.002290014,1630,100
a100.lia,3,0.006070449,1893,100
a100.lia,4,0.003012329,1816,100
a100.lia,5,0.005045867,1877,100
a100.lia,6,0.002136349,1683,100
a100.lia,7,0.003135039,1742,100
a100.lia,8,0.002654799,1987,100
a100.lia,9,0.003447205,1643,100
a100.lia,10,0.00228046,1523,100
a100.lia,11,0.003183894,1933,100
a100.lia,12,0.003050725,1752,100
a100.lia,13,0.006135656,1860,100
a100.lia,14,0.002629573,1637,100
a100.lia,15,0.003919099,1917,100
a100.lia,16,0.002133042,1525,100
a100.lia,17,0.001830923,1786,100
a100.lia,18,0.001924653,1641,100
