file,replication,elapsed_time,quality,items
a10000.lia,1,36.601585065,102408,10000
a10000.lia,2,30.512409981,105700,10000
a10000.lia,3,11.282046482,102308,10000
a10000.lia,4,4.725690871,100528,10000
a10000.lia,5,34.353435643,104124,10000
a10000.lia,6,12.298790822,103971,10000
a10000.lia,7,37.030973989,105405,10000
a10000.lia,8,112.615605303,106712,10000
a10000.lia,9,33.202948517,107684,10000
a10000.lia,10,28.894609557,105462,10000
a10000.lia,11,35.978557189,106143,10000
a10000.lia,12,6.238065262,104448,10000
a10000.lia,13,11.296426641,106949,10000
a10000.lia,14,13.680949966,101513,10000
a10000.lia,15,30.980632374,105247,10000
a10000.lia,16,118.714065024,104127,10000
a10000.lia,17,18.633044287,104439,10000
a10000.lia,18,36.437163656,105021,10000
a10000.lia,19,36.499870648,107303,10000
a10000.lia,20,40.850126046,102769,10000
a10000.lia,21,11.063660433,102991,10000
a10000.lia,22,41.323971434,106220,10000
a10000.lia,23,9.238879161,103089,10000
a10000.lia,24,42.130611755,107348,10000
a10000.lia,25,116.106968936,108520,10000
a10000.lia,26,12.506063442,102431,10000
a10000.lia,27,7.508611354,100947,10000
a10000.lia,28,34.230895274,101959,10000
a10000.lia,29,129.192786276,110075,10000
a10000.lia,30,32.261479939,107065,10000
a1000.lia,1,0.146109532,11443,1000
a1000.lia,2,0.091688031,10725,1000
a1000.lia,3,0.13057926,11529,1000
a1000.lia,4,0.13091035,11198,1000
a1000.lia,5,0.11055632,11090,1000
a1000.lia,6,0.139579242,11006,1000
a1000.lia,7,0.133014621,10879,1000
a1000.lia,8,0.061579804,10933,1000
a1000.lia,9,0.085257388,10310,1000
a1000.lia,10,0.159661108,10703,1000
a1000.lia,11,0.130813522,10070,1000
a1000.lia,12,0.08175614,10234,1000
a1000.lia,13,0.037257853,10424,1000
a1000.lia,14,0.091755725,10683,1000
a1000.lia,15,0.125991429,10676,1000
a1000.lia,16,0.153055507,10960,1000
a1000.lia,17,0.148307046,11295,1000
a1000.lia,18,0.147768224,11911,1000
a1000.lia,19,0.155302589,10275,1000
a1000.lia,20,0.176854487,11550,1000
a1000.lia,21,0.155215475,10673,1000
a1000.lia,22,0.14194262,11640,1000
a1000.lia,23,0.091140028,10167,1000
a1000.lia,24,0.127332559,12131,1000
a1000.lia,25,0.133774571,10825,1000
a1000.lia,26,0.135035791,11158,1000
a1000.lia,27,0.108481997,10201,1000
a1000.lia,28,0.142042819,10689,1000
a1000.lia,29,0.173439637,10705,1000
a1000.lia,30,0.153377273,10793,1000
a100.lia,1,0.002638845,1173,100
a100.lia,2,0.002689408,1187,100
a100.lia,3,0.007984804,1317,100
a100.lia,4,0.002083748,1518,100
a100.lia,5,0.001687286,1041,100
a100.lia,6,0.002235383,1168,100
a100.lia,7,0.003880128,1133,100
a100.lia,8,0.001165198,1347,100
a100.lia,9,0.004331644,1315,100
a100.lia,10,0.002960903,1068,100
a100.lia,11,0.001477992,1197,100
a100.lia,12,0.002254806,1318,100
a100.lia,13,0.003670733,1305,100
a100.lia,14,0.002596874,1198,100
a100.lia,15,0.003040141,1288,100
a100.lia,16,0.003668061,1065,100
a100.lia,17,0.001694403,1223,100
a100.lia,18,0.002493424,1207,100
a100.lia,19,0.001966874,940,100
a100.lia,20,0.001268245,948,100
a100.lia,21,0.003056469,1214,100
a100.lia,22,0.001185085,1025,100
a100.lia,23,0.002952267,1430,100
a100.lia,24,0.001092041,1093,100
a100.lia,25,0.003972437,1052,100
a100.lia,26,0.001442876,1147,100
a100.lia,27,0.004138747,1237,100
a100.lia,28,0.004064634,1169,100
a100.lia,29,0.000805732,1093,100
a100.lia,30,0.005916798,1563,100
b10000.lia,1,4.078702461,101428,10000
b10000.lia,2,17.795125451,105212,10000
b10000.lia,3,18.272209849,102447,10000
b10000.lia,4,6.988249084,101314,10000
b10000.lia,5,4.703844963,97695,10000
b10000.lia,6,4.494426621,102244,10000
b10000.lia,7,5.387318329,102087,10000
b10000.lia,8,3.968173131,102410,10000
b10000.lia,9,15.349861216,100516,10000
b10000.lia,10,9.624991813,98772,10000
b10000.lia,11,20.791054197,102749,10000
b10000.lia,12,4.797338886,98363,10000
b10000.lia,13,22.345313731,100933,10000
b10000.lia,14,21.890609451,104181,10000
b10000.lia,15,3.652860458,99437,10000
b10000.lia,16,3.925847417,102891,10000
b10000.lia,17,5.542181736,99970,10000
