k,a,b,xk,f(xk),epsilon
0,0,1,0.5,0.625,-
1,0,0.5,0.25,-0.234375,1
2,0.25,0.5,0.375,0.177734,0.333333
3,0.25,0.375,0.3125,-0.0319824,0.2
4,0.3125,0.375,0.34375,0.0718689,0.0909091
5,0.3125,0.34375,0.328125,0.0197029,0.047619
6,0.3125,0.328125,0.320312,-0.00619841,0.0243902
7,0.320312,0.328125,0.324219,0.00673741,0.0120482
8,0.320312,0.324219,0.322266,0.000265814,0.00606061
9,0.320312,0.322266,0.321289,-0.00296722,0.00303951
10,0.321289,0.322266,0.321777,-0.00135093,0.00151745
11,0.321777,0.322266,0.322021,-0.000542616,0.00075815
12,0.322021,0.322266,0.322144,-0.000138415,0.000378931
13,0.322144,0.322266,0.322205,6.36961e-005,0.00018943
14,0.322144,0.322205,0.322174,-3.73604e-005,9.47239e-005
15,0.322174,0.322205,0.322189,1.31676e-005,4.73597e-005
16,0.322174,0.322189,0.322182,-1.20965e-005,2.36804e-005
17,0.322182,0.322189,0.322186,5.35559e-007,1.18401e-005
18,0.322182,0.322186,0.322184,-5.78045e-006,5.92007e-006
19,0.322184,0.322186,0.322185,-2.62245e-006,2.96002e-006
20,0.322185,0.322186,0.322185,-1.04344e-006,1.48001e-006
21,0.322185,0.322186,0.322185,-2.53943e-007,7.40005e-007
22,0.322185,0.322186,0.322185,1.40808e-007,3.70002e-007
23,0.322185,0.322185,0.322185,-5.65675e-008,1.85001e-007
24,0.322185,0.322185,0.322185,4.21202e-008,9.25005e-008
25,0.322185,0.322185,0.322185,-7.22363e-009,4.62503e-008
26,0.322185,0.322185,0.322185,1.74483e-008,2.31251e-008
27,0.322185,0.322185,0.322185,5.11233e-009,1.15626e-008
28,0.322185,0.322185,0.322185,-1.05565e-009,5.78128e-009
29,0.322185,0.322185,0.322185,2.02834e-009,2.89064e-009
30,0.322185,0.322185,0.322185,4.86345e-010,1.44532e-009
31,0.322185,0.322185,0.322185,-2.84652e-010,7.22661e-010
32,0.322185,0.322185,0.322185,1.00847e-010,3.6133e-010
33,0.322185,0.322185,0.322185,-9.19029e-011,1.80665e-010
34,0.322185,0.322185,0.322185,4.47184e-012,9.03326e-011
