k,xk,f(xk),fd(xk),epsilon
0,4,6.84218,-0.34055,-
1,24.0915,49.8914,-1.91824,0.833967
2,50.1005,100.368,0.972283,0.519136
3,-53.1282,-106.543,0.918023,1.94301
4,62.9285,125.76,0.9906,1.84426
5,-64.0249,-125.53,-5.35094,1.98288
6,-87.4843,-175.49,0.728538,0.268155
7,153.395,307.393,0.635121,1.57032
8,-330.597,-660.3,0.198819,1.46399
9,2990.52,5981.32,0.919367,1.11055
10,-3515.39,-7030.83,0.997506,1.85069
11,3533.02,7069.25,-9.23137,1.99501
12,4298.81,8595.6,-3.07371,0.178139
13,7095.3,14260.2,-4845.12,0.394133
14,7098.24,14191.1,-27.867,0.000414639
15,7607.49,15223,-64.1061,0.06694
16,7844.96,15689.5,0.82168,0.03027
17,-11249.4,-22499.6,0.538986,1.69736
18,30494.8,60990.4,0.53801,1.3689
19,-82868,-165737,-0.79362,1.36799
20,-291705,-583412,-1.62654,0.715919
21,-650388,-1.30078e+006,0.860179,0.55149
22,861827,1.72365e+006,0.989117,1.75466
23,-880791,-1.76144e+006,-18830.1,1.97847
24,-880885,-1.76177e+006,-0.347377,0.000106193
25,-5.95252e+006,-1.1905e+007,0.663412,0.852015
26,1.19926e+007,2.39853e+007,-21.1366,1.49635
27,1.31274e+007,2.62548e+007,-45.0607,0.0864431
28,1.37101e+007,2.74201e+007,0.973264,0.0424983
29,-1.44633e+007,-2.89266e+007,-127.439,1.94792
30,-1.46903e+007,-2.93806e+007,0.860157,0.0154513
31,1.9467e+007,3.89339e+007,0.989035,1.75463
32,-1.98986e+007,-3.97972e+007,-1.25783,1.97831
33,-5.15382e+007,-1.03076e+008,0.964092,0.613906
34,5.53774e+007,1.10755e+008,0.827423,1.93067
35,-7.84776e+007,-1.56955e+008,-1.72979,1.70565
36,-1.69214e+008,-3.38428e+008,0.8803,0.536223
37,2.15233e+008,4.30465e+008,0.167109,1.78619
38,-2.36072e+009,-4.72145e+009,0.722741,1.09117
39,4.17198e+009,8.34395e+009,0.403398,1.56585
40,-1.65122e+010,-3.30244e+010,-35.7344,1.25266
41,-1.74364e+010,-3.48727e+010,0.275999,0.0530021
42,1.08915e+011,2.17829e+011,-25.8533,1.16009
43,1.1734e+011,2.3468e+011,-1.73039,0.0718048
44,2.52963e+011,5.05925e+011,0.504533,0.536136
45,-7.49798e+011,-1.4996e+012,0.855582,1.33737
46,1.00292e+012,2.00584e+012,0.926947,1.74761
47,-1.161e+012,-2.322e+012,-0.144854,1.86384
48,-1.71909e+013,-3.43818e+013,-1.30387,0.932464
49,-4.356e+013,-8.712e+013,0.999835,0.605351
50,4.35744e+013,8.71488e+013,-51.3774,1.99967
51,4.52706e+013,9.05413e+013,-84.413,0.0374691
52,4.63432e+013,9.26865e+013,0.946565,0.0231447
53,-5.15755e+013,-1.03151e+014,-17.2629,1.89855
54,-5.75508e+013,-1.15102e+014,-7.44543,0.103826
55,-7.30101e+013,-1.4602e+014,0.889784,0.211743
56,9.10975e+013,1.82195e+014,0.998655,1.80145
57,-9.13429e+013,-1.82686e+014,-1.23845,1.99731
58,-2.38854e+014,-4.77708e+014,0.670575,0.617579
59,4.73532e+014,9.47064e+014,-2.85859,1.50441
60,8.04836e+014,1.60967e+015,0.767651,0.411642
61,-1.29204e+015,-2.58409e+015,-1.43887,1.62292
62,-3.08796e+015,-6.17592e+015,0.552961,0.581587
63,8.08087e+015,1.61617e+016,-28.8184,1.38213
64,8.64168e+015,1.72834e+016,-1.2805,0.0648962
65,2.2139e+016,4.4278e+016,0.980418,0.609662
66,-2.30233e+016,-4.60467e+016,-176.503,1.96159
67,-2.32842e+016,-4.65685e+016,0.745508,0.0112043
68,3.91812e+016,7.83624e+016,0.989312,1.59427
69,-4.00278e+016,-8.00555e+016,0.234134,1.97885
70,3.01893e+017,6.03787e+017,0.660546,1.13259
71,-6.12179e+017,-1.22436e+018,-15.9538,1.49315
72,-6.88924e+017,-1.37785e+018,-61.6708,0.111397
73,-7.11266e+017,-1.42253e+018,-71.2208,0.0314116
