k,a,b,xk,f(xk),epsilon
0,-1,1,0,-1,-
1,0,1,0.5,0.625,1
2,0,0.5,0.25,-0.234375,1
3,0.25,0.5,0.375,0.177734,0.333333
4,0.25,0.375,0.3125,-0.0319824,0.2
5,0.3125,0.375,0.34375,0.0718689,0.0909091
6,0.3125,0.34375,0.328125,0.0197029,0.047619
7,0.3125,0.328125,0.320312,-0.00619841,0.0243902
8,0.320312,0.328125,0.324219,0.00673741,0.0120482
9,0.320312,0.324219,0.322266,0.000265814,0.00606061
10,0.320312,0.322266,0.321289,-0.00296722,0.00303951
11,0.321289,0.322266,0.321777,-0.00135093,0.00151745
12,0.321777,0.322266,0.322021,-0.000542616,0.00075815
13,0.322021,0.322266,0.322144,-0.000138415,0.000378931
14,0.322144,0.322266,0.322205,6.36961e-05,0.00018943
15,0.322143554688,0.322204589844,0.322174072266,-3.73604005688e-05,9.47239e-05
16,0.322174072266,0.322204589844,0.322189331055,1.31676015478e-05,4.73597e-05
17,0.322174072266,0.322189331055,0.32218170166,-1.20964557708e-05,2.36804e-05
18,0.32218170166,0.322189331055,0.322185516357,5.35558823234e-07,1.18401e-05
19,0.32218170166,0.322185516357,0.322183609009,-5.78045199009e-06,5.92007e-06
20,0.322183609009,0.322185516357,0.322184562683,-2.62244746251e-06,2.96002e-06
21,0.322184562683,0.322185516357,0.32218503952,-1.0434445394e-06,1.48001e-06
22,0.32218503952,0.322185516357,0.322185277939,-2.53942913024e-07,7.40005e-07
23,0.322185277939,0.322185516357,0.322185397148,1.40807941369e-07,3.70002e-07
24,0.322185277939,0.322185397148,0.322185337543,-5.65674892622e-08,1.85001e-07
25,0.322185337543,0.322185397148,0.322185367346,4.21202251966e-08,9.25005e-08
26,0.322185337543,0.322185367346,0.322185352445,-7.22363224792e-09,4.62503e-08
27,0.322185352445,0.322185367346,0.322185359895,1.74482964188e-08,2.31251e-08
28,0.322185352445,0.322185359895,0.32218535617,5.11233207157e-09,1.15626e-08
29,0.322185352445,0.32218535617,0.322185354307,-1.05565009512e-09,5.78128e-09
30,0.322185354307,0.32218535617,0.322185355239,2.02834098822e-09,2.89064e-09
31,0.322185354307,0.322185355239,0.322185354773,4.86345450024e-10,1.44532e-09
32,0.322185354307,0.322185354773,0.32218535454,-2.84652322546e-10,7.22661e-10
33,0.32218535454,0.322185354773,0.322185354657,1.00846560269e-10,3.6133e-10
34,0.32218535454,0.322185354657,0.322185354598,-9.19028811386e-11,1.80665e-10
35,0.322185354598,0.322185354657,0.322185354627,4.47183956531e-12,9.03326e-11
