k,a,b,xk,f(xk),epsilon
0,-3,-1,-1.40165,0.569809,-
1,-3,-1.40165,-1.67868,0.309695,0.165029
2,-3,-1.67868,-1.81384,0.127375,0.0745187
3,-3,-1.81384,-1.86695,0.0459872,0.0284441
4,-3,-1.86695,-1.8858,0.0157902,0.00999755
5,-3,-1.8858,-1.89224,0.00532665,0.00340132
6,-3,-1.89224,-1.8944,0.0017861,0.00114384
7,-3,-1.8944,-1.89513,0.00059769,0.000383148
8,-3,-1.89513,-1.89537,0.000199872,0.00012817
9,-3,-1.89537223976,-1.89545347136,6.68235782793e-05,4.2856e-05
10,-3,-1.89545347136,-1.89548062899,2.23395479955e-05,1.43276e-05
11,-3,-1.89548062899,-1.89548970789,7.46806367413e-06,4.78974e-06
12,-3,-1.89548970789,-1.89549274294,2.49653671602e-06,1.60119e-06
13,-3,-1.89549274294,-1.89549375754,8.34577497777e-07,5.3527e-07
14,-3,-1.89549375754,-1.89549409671,2.78994070291e-07,1.78937e-07
15,-3,-1.89549409671,-1.8954942101,9.32659538488e-08,5.98177e-08
16,-3,-1.8954942101,-1.895494248,3.11782155649e-08,1.99967e-08
17,-3,-1.895494248,-1.89549426067,1.0422678498e-08,6.68476e-09
18,-3,-1.89549426067,-1.89549426491,3.48423512264e-09,2.23467e-09
19,-3,-1.89549426491,-1.89549426632,1.16475762368e-09,7.47037e-10
20,-3,-1.89549426632,-1.8954942668,3.89371201948e-10,2.4973e-10
21,-3,-1.8954942668,-1.89549426695,1.30164101719e-10,8.3483e-11
