k,a,b,xk,f(xk),epsilon
0,-1,1,0,-1,-
1,0,1,0.5,0.625,1
2,0,0.5,0.25,-0.234375,1
3,0.25,0.5,0.375,0.177734,0.333333
4,0.25,0.375,0.3125,-0.0319824,0.2
5,0.3125,0.375,0.34375,0.0718689,0.0909091
6,0.3125,0.34375,0.328125,0.0197029,0.047619
7,0.3125,0.328125,0.320312,-0.00619841,0.0243902
8,0.320312,0.328125,0.324219,0.00673741,0.0120482
9,0.320312,0.324219,0.322266,0.000265814,0.00606061
10,0.320312,0.322266,0.321289,-0.00296722,0.00303951
11,0.321289,0.322266,0.321777,-0.00135093,0.00151745
12,0.321777,0.322266,0.322021,-0.000542616,0.00075815
13,0.322021,0.322266,0.322144,-0.000138415,0.000378931
14,0.322144,0.322266,0.322205,6.36961e-005,0.00018943
15,0.322143554688,0.322204589844,0.322174072266,-3.73604005688e-005,9.47239e-005
16,0.322174072266,0.322204589844,0.322189331055,1.31676015478e-005,4.73597e-005
17,0.322174072266,0.322189331055,0.32218170166,-1.20964557708e-005,2.36804e-005
18,0.32218170166,0.322189331055,0.322185516357,5.35558823234e-007,1.18401e-005
19,0.32218170166,0.322185516357,0.322183609009,-5.78045199009e-006,5.92007e-006
20,0.322183609009,0.322185516357,0.322184562683,-2.6224474625e-006,2.96002e-006
21,0.322184562683,0.322185516357,0.32218503952,-1.0434445394e-006,1.48001e-006
22,0.32218503952,0.322185516357,0.322185277939,-2.53942913027e-007,7.40005e-007
23,0.322185277939,0.322185516357,0.322185397148,1.40807941367e-007,3.70002e-007
24,0.322185277939,0.322185397148,0.322185337543,-5.65674892638e-008,1.85001e-007
25,0.322185337543,0.322185397148,0.322185367346,4.21202251934e-008,9.25005e-008
26,0.322185337543,0.322185367346,0.322185352445,-7.22363224982e-009,4.62503e-008
27,0.322185352445,0.322185367346,0.322185359895,1.74482964182e-008,2.31251e-008
28,0.322185352445,0.322185359895,0.32218535617,5.1123320707e-009,1.15626e-008
29,0.322185352445,0.32218535617,0.322185354307,-1.05565009289e-009,5.78128e-009
30,0.322185354307,0.32218535617,0.322185355239,2.02834098812e-009,2.89064e-009
31,0.322185354307,0.322185355239,0.322185354773,4.86345447422e-010,1.44532e-009
32,0.322185354307,0.322185354773,0.32218535454,-2.84652322817e-010,7.22661e-010
33,0.32218535454,0.322185354773,0.322185354657,1.00846562221e-010,3.6133e-010
34,0.32218535454,0.322185354657,0.322185354598,-9.19028802712e-011,1.80665e-010
35,0.322185354598,0.322185354657,0.322185354627,4.47184097477e-012,9.03326e-011
