k,a,b,xk,f(xk),epsilon
0,1,3,1.40165,-0.569809,-
1,1.40165,3,1.67868,-0.309695,0.165029
2,1.67868,3,1.81384,-0.127375,0.0745187
3,1.81384,3,1.86695,-0.0459872,0.0284441
4,1.86695,3,1.8858,-0.0157902,0.00999755
5,1.8858,3,1.89224,-0.00532665,0.00340132
6,1.89224,3,1.8944,-0.0017861,0.00114384
7,1.8944,3,1.89513,-0.00059769,0.000383148
8,1.89513,3,1.89537,-0.000199872,0.00012817
9,1.89537223976,3,1.89545347136,-6.68235782793e-005,4.2856e-005
10,1.89545347136,3,1.89548062899,-2.23395479961e-005,1.43276e-005
11,1.89548062899,3,1.89548970789,-7.46806367458e-006,4.78974e-006
12,1.89548970789,3,1.89549274294,-2.49653671602e-006,1.60119e-006
13,1.89549274294,3,1.89549375754,-8.34577497999e-007,5.3527e-007
14,1.89549375754,3,1.89549409671,-2.78994070291e-007,1.78937e-007
15,1.89549409671,3,1.8954942101,-9.32659540709e-008,5.98177e-008
16,1.8954942101,3,1.895494248,-3.11782157869e-008,1.99967e-008
17,1.895494248,3,1.89549426067,-1.04226789421e-008,6.68476e-009
18,1.89549426067,3,1.89549426491,-3.48423512264e-009,2.23467e-009
19,1.89549426491,3,1.89549426632,-1.16475762368e-009,7.47037e-010
20,1.89549426632,3,1.8954942668,-3.89371868081e-010,2.49729e-010
21,1.8954942668,3,1.89549426695,-1.30164989898e-010,8.3483e-011
