round,accuracy,self,enemy
0,0.09411764705882353,both,stationary
1,0.6896551724137931,both,stationary
2,0.4444444444444444,both,stationary
3,0.7741935483870968,both,stationary
4,0.3023255813953488,both,stationary
5,0.14666666666666667,both,stationary
6,0.3103448275862069,both,stationary
7,0.5,both,stationary
8,0.7916666666666666,both,stationary
9,0.3333333333333333,both,stationary
10,0.8846153846153846,both,stationary
11,0.7931034482758621,both,stationary
12,0.7037037037037037,both,stationary
13,0.39285714285714285,both,stationary
14,0.96,both,stationary
15,0.4411764705882353,both,stationary
16,0.2916666666666667,both,stationary
17,0.7272727272727273,both,stationary
18,0.2878787878787879,both,stationary
19,0.8571428571428571,both,stationary
20,0.5277777777777778,both,stationary
21,0.2857142857142857,both,stationary
22,0.28888888888888886,both,stationary
23,0.13793103448275862,both,stationary
24,0.39473684210526316,both,stationary
25,0.29545454545454547,both,stationary
26,0.375,both,stationary
27,0.22330097087378642,both,stationary
28,0.6129032258064516,both,stationary
29,0.8888888888888888,both,stationary
30,0.19718309859154928,both,stationary
31,0.23214285714285715,both,stationary
32,0.5833333333333334,both,stationary
33,0.2777777777777778,both,stationary
34,0.42424242424242425,both,stationary
35,0.25925925925925924,both,stationary
36,0.875,both,stationary
37,0.2826086956521739,both,stationary
38,0.152317880794702,both,stationary
39,0.2692307692307692,both,stationary
40,0.08403361344537816,both,stationary
41,0.6857142857142857,both,stationary
42,0.168,both,stationary
43,0.11904761904761904,both,stationary
44,0.3541666666666667,both,stationary
45,0.8571428571428571,both,stationary
46,0.23636363636363636,both,stationary
47,1.0,both,stationary
48,0.3050847457627119,both,stationary
49,0.6470588235294118,both,stationary
50,0.4888888888888889,both,stationary
51,0.75,both,stationary
52,0.5806451612903226,both,stationary
53,0.425,both,stationary
54,0.5357142857142857,both,stationary
55,0.48,both,stationary
56,0.6666666666666666,both,stationary
57,0.4375,both,stationary
58,0.65625,both,stationary
59,0.34545454545454546,both,stationary
60,0.696969696969697,both,stationary
61,0.5806451612903226,both,stationary
62,0.0,both,stationary
63,0.5483870967741935,both,stationary
64,0.6923076923076923,both,stationary
65,0.6666666666666666,both,stationary
66,0.09722222222222222,both,stationary
67,0.45714285714285713,both,stationary
68,0.037037037037037035,both,stationary
69,0.5151515151515151,both,stationary
70,0.96,both,stationary
71,0.5357142857142857,both,stationary
72,0.6486486486486487,both,stationary
73,0.9230769230769231,both,stationary
74,0.25,both,stationary
75,0.0,both,stationary
76,0.3,both,stationary
77,0.8148148148148148,both,stationary
78,0.5,both,stationary
79,0.5833333333333334,both,stationary
80,0.6785714285714286,both,stationary
81,0.35185185185185186,both,stationary
82,0.35,both,stationary
83,0.5625,both,stationary
84,0.84,both,stationary
85,0.2328767123287671,both,stationary
86,0.23809523809523808,both,stationary
87,0.5135135135135135,both,stationary
88,0.1643835616438356,both,stationary
89,0.26666666666666666,both,stationary
90,0.1875,both,stationary
91,0.92,both,stationary
92,0.75,both,stationary
93,0.2807017543859649,both,stationary
94,0.575,both,stationary
95,0.8260869565217391,both,stationary
96,0.6206896551724138,both,stationary
97,0.30357142857142855,both,stationary
98,0.23333333333333334,both,stationary
99,0.3888888888888889,both,stationary
100,0.175,both,stationary
101,0.375,both,stationary
102,0.9090909090909091,both,stationary
103,0.13793103448275862,both,stationary
104,0.46511627906976744,both,stationary
105,0.5625,both,stationary
106,0.631578947368421,both,stationary
107,0.12096774193548387,both,stationary
108,1.0,both,stationary
109,0.2777777777777778,both,stationary
110,0.2972972972972973,both,stationary
111,0.16455696202531644,both,stationary
112,0.34146341463414637,both,stationary
113,0.2112676056338028,both,stationary
114,0.8,both,stationary
115,0.8888888888888888,both,stationary
116,0.43243243243243246,both,stationary
117,0.38636363636363635,both,stationary
118,0.8888888888888888,both,stationary
119,0.47619047619047616,both,stationary
120,0.92,both,stationary
121,0.1780821917808219,both,stationary
122,0.9230769230769231,both,stationary
123,0.41935483870967744,both,stationary
124,0.6666666666666666,both,stationary
125,0.5,both,stationary
126,0.10655737704918032,both,stationary
127,0.5555555555555556,both,stationary
128,0.2962962962962963,both,stationary
129,0.13636363636363635,both,stationary
130,0.76,both,stationary
131,1.0,both,stationary
132,0.08870967741935484,both,stationary
133,0.2608695652173913,both,stationary
134,0.7058823529411765,both,stationary
135,0.29545454545454547,both,stationary
136,0.10309278350515463,both,stationary
137,0.21428571428571427,both,stationary
138,0.7083333333333334,both,stationary
139,0.48717948717948717,both,stationary
140,0.6176470588235294,both,stationary
141,0.5,both,stationary
142,0.8571428571428571,both,stationary
143,0.4666666666666667,both,stationary
144,0.8461538461538461,both,stationary
145,0.6060606060606061,both,stationary
146,0.8333333333333334,both,stationary
147,0.5161290322580645,both,stationary
148,0.6206896551724138,both,stationary
149,0.6538461538461539,both,stationary
150,0.40625,both,stationary
151,0.0,both,stationary
152,0.4782608695652174,both,stationary
153,0.6333333333333333,both,stationary
154,0.29850746268656714,both,stationary
155,0.5,both,stationary
156,0.5,both,stationary
157,0.2835820895522388,both,stationary
158,1.0,both,stationary
159,0.8275862068965517,both,stationary
160,0.21212121212121213,both,stationary
161,0.7241379310344828,both,stationary
162,1.0,both,stationary
163,0.7692307692307693,both,stationary
164,0.5,both,stationary
165,0.6296296296296297,both,stationary
166,0.4722222222222222,both,stationary
167,1.0,both,stationary
168,0.75,both,stationary
169,0.16494845360824742,both,stationary
170,0.2222222222222222,both,stationary
171,0.5641025641025641,both,stationary
172,0.45454545454545453,both,stationary
173,0.5405405405405406,both,stationary
174,0.6551724137931034,both,stationary
175,1.0,both,stationary
176,0.1839080459770115,both,stationary
177,0.3902439024390244,both,stationary
178,0.3584905660377358,both,stationary
179,0.5161290322580645,both,stationary
180,0.7083333333333334,both,stationary
181,0.3508771929824561,both,stationary
182,0.72,both,stationary
183,0.7916666666666666,both,stationary
184,0.7096774193548387,both,stationary
185,0.36,both,stationary
186,0.0,both,stationary
187,1.0,both,stationary
188,0.0,both,stationary
189,1.0,both,stationary
190,0.19047619047619047,both,stationary
191,0.9230769230769231,both,stationary
192,0.5357142857142857,both,stationary
193,0.38636363636363635,both,stationary
194,0.35555555555555557,both,stationary
195,0.5757575757575758,both,stationary
196,0.5,both,stationary
197,0.05555555555555555,both,stationary
198,0.7058823529411765,both,stationary
199,0.5,both,stationary
