round,accuracy,self,enemy
0,0.058823529411764705,both,walls
1,0.6,both,walls
2,0.09523809523809523,both,walls
3,0.07142857142857142,both,walls
4,0.05263157894736842,both,walls
5,0.3333333333333333,both,walls
6,0.15789473684210525,both,walls
7,0.5,both,walls
8,0.14285714285714285,both,walls
9,0.5,both,walls
10,0.08333333333333333,both,walls
11,0.034482758620689655,both,walls
12,0.21428571428571427,both,walls
13,0.2692307692307692,both,walls
14,0.2727272727272727,both,walls
15,0.15384615384615385,both,walls
16,0.3157894736842105,both,walls
17,0.0,both,walls
18,0.3333333333333333,both,walls
19,0.1875,both,walls
20,0.16,both,walls
21,0.23076923076923078,both,walls
22,0.07692307692307693,both,walls
23,0.0,both,walls
24,0.05,both,walls
25,0.2,both,walls
26,0.045454545454545456,both,walls
27,0.2857142857142857,both,walls
28,0.07692307692307693,both,walls
29,0.2,both,walls
30,0.3333333333333333,both,walls
31,0.037037037037037035,both,walls
32,0.14285714285714285,both,walls
33,0.06666666666666667,both,walls
34,0.25,both,walls
35,0.2,both,walls
36,0.23529411764705882,both,walls
37,0.1,both,walls
38,0.3333333333333333,both,walls
39,0.3125,both,walls
40,0.043478260869565216,both,walls
41,0.1111111111111111,both,walls
42,0.11764705882352941,both,walls
43,0.125,both,walls
44,0.16666666666666666,both,walls
45,0.0,both,walls
46,0.18181818181818182,both,walls
47,0.0,both,walls
48,0.16,both,walls
49,0.0,both,walls
50,0.2413793103448276,both,walls
51,0.14285714285714285,both,walls
52,0.0,both,walls
53,0.0,both,walls
54,0.0,both,walls
55,0.125,both,walls
56,0.05714285714285714,both,walls
57,0.5,both,walls
58,0.375,both,walls
59,0.3103448275862069,both,walls
60,0.15,both,walls
61,0.19444444444444445,both,walls
62,0.07407407407407407,both,walls
63,0.0,both,walls
64,0.22727272727272727,both,walls
65,0.2631578947368421,both,walls
66,0.26666666666666666,both,walls
67,0.14814814814814814,both,walls
68,0.28,both,walls
69,0.15384615384615385,both,walls
70,0.11764705882352941,both,walls
71,0.11764705882352941,both,walls
72,0.20833333333333334,both,walls
73,0.21428571428571427,both,walls
74,0.125,both,walls
75,0.05,both,walls
76,0.0,both,walls
77,0.14285714285714285,both,walls
78,0.1,both,walls
79,0.17647058823529413,both,walls
80,0.16666666666666666,both,walls
81,0.16,both,walls
82,0.21052631578947367,both,walls
83,0.11764705882352941,both,walls
84,0.25,both,walls
85,0.23529411764705882,both,walls
86,0.1111111111111111,both,walls
87,0.19047619047619047,both,walls
88,0.17647058823529413,both,walls
89,0.125,both,walls
90,0.15,both,walls
91,0.06896551724137931,both,walls
92,0.0,both,walls
93,0.1,both,walls
94,0.0,both,walls
95,0.1111111111111111,both,walls
96,0.42857142857142855,both,walls
97,0.25,both,walls
98,0.15789473684210525,both,walls
99,0.38461538461538464,both,walls
100,0.2727272727272727,both,walls
101,0.058823529411764705,both,walls
102,0.1111111111111111,both,walls
103,0.25925925925925924,both,walls
104,0.2,both,walls
105,0.18181818181818182,both,walls
106,0.06666666666666667,both,walls
107,0.1111111111111111,both,walls
108,0.13793103448275862,both,walls
109,0.11764705882352941,both,walls
110,0.34,both,walls
111,0.19230769230769232,both,walls
112,0.16666666666666666,both,walls
113,0.0,both,walls
114,0.125,both,walls
115,0.25,both,walls
116,0.09523809523809523,both,walls
117,0.0,both,walls
118,0.125,both,walls
119,0.3333333333333333,both,walls
120,0.11538461538461539,both,walls
121,0.0,both,walls
122,0.09523809523809523,both,walls
123,0.30434782608695654,both,walls
124,0.13636363636363635,both,walls
125,0.15789473684210525,both,walls
126,0.42857142857142855,both,walls
127,0.1,both,walls
128,0.17777777777777778,both,walls
129,0.2,both,walls
130,0.041666666666666664,both,walls
131,0.125,both,walls
132,0.041666666666666664,both,walls
133,0.0625,both,walls
134,0.05714285714285714,both,walls
135,0.25,both,walls
136,0.2,both,walls
137,0.3333333333333333,both,walls
138,0.10344827586206896,both,walls
139,0.125,both,walls
140,0.0,both,walls
141,0.1,both,walls
142,0.15,both,walls
143,0.16666666666666666,both,walls
144,0.047619047619047616,both,walls
145,0.0,both,walls
146,0.0,both,walls
147,0.14285714285714285,both,walls
148,0.25,both,walls
149,0.0,both,walls
150,0.2222222222222222,both,walls
151,0.125,both,walls
152,0.0,both,walls
153,0.14285714285714285,both,walls
154,0.06666666666666667,both,walls
155,0.2631578947368421,both,walls
156,0.23809523809523808,both,walls
157,0.0,both,walls
158,0.22580645161290322,both,walls
159,0.15,both,walls
160,0.3,both,walls
161,0.1875,both,walls
162,0.2857142857142857,both,walls
163,0.0,both,walls
164,0.2608695652173913,both,walls
165,0.0,both,walls
166,0.25,both,walls
167,0.2727272727272727,both,walls
168,0.047619047619047616,both,walls
169,0.375,both,walls
170,0.11538461538461539,both,walls
171,0.3333333333333333,both,walls
172,0.0,both,walls
173,0.38095238095238093,both,walls
174,0.11764705882352941,both,walls
175,0.23076923076923078,both,walls
176,0.0,both,walls
177,0.42857142857142855,both,walls
178,0.25,both,walls
179,0.125,both,walls
180,0.0,both,walls
181,0.0,both,walls
182,0.09523809523809523,both,walls
183,0.5,both,walls
184,0.0,both,walls
185,0.25,both,walls
186,0.1,both,walls
187,0.16666666666666666,both,walls
188,0.1111111111111111,both,walls
189,0.4074074074074074,both,walls
190,0.2857142857142857,both,walls
191,0.32,both,walls
192,0.0,both,walls
193,0.5,both,walls
194,0.12121212121212122,both,walls
