round,accuracy,self,enemy
0,0.3333333333333333,stationary,walls
1,0.125,stationary,walls
2,0.03225806451612903,stationary,walls
3,0.35714285714285715,stationary,walls
4,0.3076923076923077,stationary,walls
5,0.08695652173913043,stationary,walls
6,0.09090909090909091,stationary,walls
7,0.3333333333333333,stationary,walls
8,0.18181818181818182,stationary,walls
9,0.18181818181818182,stationary,walls
10,0.08333333333333333,stationary,walls
11,0.25,stationary,walls
12,0.0,stationary,walls
13,0.2,stationary,walls
14,0.11764705882352941,stationary,walls
15,0.09090909090909091,stationary,walls
16,0.375,stationary,walls
17,0.2727272727272727,stationary,walls
18,0.16666666666666666,stationary,walls
19,0.2222222222222222,stationary,walls
20,0.14814814814814814,stationary,walls
21,0.18181818181818182,stationary,walls
22,0.1875,stationary,walls
23,0.07142857142857142,stationary,walls
24,0.2857142857142857,stationary,walls
25,0.045454545454545456,stationary,walls
26,0.05263157894736842,stationary,walls
27,0.1,stationary,walls
28,0.35294117647058826,stationary,walls
29,0.23076923076923078,stationary,walls
30,0.09090909090909091,stationary,walls
31,0.09090909090909091,stationary,walls
32,0.09090909090909091,stationary,walls
33,0.08333333333333333,stationary,walls
34,0.0,stationary,walls
35,0.2,stationary,walls
36,0.21739130434782608,stationary,walls
37,0.2,stationary,walls
38,0.0,stationary,walls
39,0.15,stationary,walls
40,0.2903225806451613,stationary,walls
41,0.3333333333333333,stationary,walls
42,0.13636363636363635,stationary,walls
43,0.23529411764705882,stationary,walls
44,0.35714285714285715,stationary,walls
45,0.2413793103448276,stationary,walls
46,0.34782608695652173,stationary,walls
47,0.2857142857142857,stationary,walls
48,0.1111111111111111,stationary,walls
49,0.07142857142857142,stationary,walls
50,0.3076923076923077,stationary,walls
51,0.21428571428571427,stationary,walls
52,0.058823529411764705,stationary,walls
53,0.21052631578947367,stationary,walls
54,0.19047619047619047,stationary,walls
55,0.058823529411764705,stationary,walls
56,0.20588235294117646,stationary,walls
57,0.23333333333333334,stationary,walls
58,0.0,stationary,walls
59,0.07142857142857142,stationary,walls
60,0.14285714285714285,stationary,walls
61,0.3076923076923077,stationary,walls
62,0.1111111111111111,stationary,walls
63,0.12,stationary,walls
64,0.12903225806451613,stationary,walls
65,0.3,stationary,walls
66,0.5,stationary,walls
67,0.041666666666666664,stationary,walls
68,0.5,stationary,walls
69,0.1,stationary,walls
70,0.1875,stationary,walls
71,0.23684210526315788,stationary,walls
72,0.3333333333333333,stationary,walls
73,0.18181818181818182,stationary,walls
74,0.13636363636363635,stationary,walls
75,0.21428571428571427,stationary,walls
76,0.35714285714285715,stationary,walls
77,0.2857142857142857,stationary,walls
78,0.12,stationary,walls
79,0.21428571428571427,stationary,walls
80,0.2826086956521739,stationary,walls
81,0.14285714285714285,stationary,walls
82,0.1111111111111111,stationary,walls
83,0.11538461538461539,stationary,walls
84,0.5,stationary,walls
85,0.125,stationary,walls
86,0.0625,stationary,walls
87,0.13043478260869565,stationary,walls
88,0.0,stationary,walls
89,0.043478260869565216,stationary,walls
90,0.3333333333333333,stationary,walls
91,0.3125,stationary,walls
92,0.0,stationary,walls
93,0.10714285714285714,stationary,walls
94,0.2608695652173913,stationary,walls
95,0.1724137931034483,stationary,walls
96,0.16666666666666666,stationary,walls
97,0.16666666666666666,stationary,walls
98,0.1111111111111111,stationary,walls
99,0.18181818181818182,stationary,walls
100,0.125,stationary,walls
101,0.0,stationary,walls
102,0.08571428571428572,stationary,walls
103,0.25,stationary,walls
104,0.18181818181818182,stationary,walls
105,0.25,stationary,walls
106,0.16666666666666666,stationary,walls
107,0.09090909090909091,stationary,walls
108,0.08333333333333333,stationary,walls
109,0.13333333333333333,stationary,walls
110,0.15384615384615385,stationary,walls
111,0.2,stationary,walls
112,0.2727272727272727,stationary,walls
113,0.0,stationary,walls
114,0.16666666666666666,stationary,walls
115,0.0625,stationary,walls
116,0.15,stationary,walls
117,0.15,stationary,walls
118,0.14285714285714285,stationary,walls
119,0.2222222222222222,stationary,walls
120,0.125,stationary,walls
121,0.07692307692307693,stationary,walls
122,0.07142857142857142,stationary,walls
123,0.0967741935483871,stationary,walls
124,0.22727272727272727,stationary,walls
125,0.1,stationary,walls
126,0.15,stationary,walls
127,0.2222222222222222,stationary,walls
128,0.0,stationary,walls
129,0.16666666666666666,stationary,walls
130,0.2857142857142857,stationary,walls
131,0.2857142857142857,stationary,walls
132,0.14285714285714285,stationary,walls
133,0.14285714285714285,stationary,walls
134,0.2,stationary,walls
135,0.15384615384615385,stationary,walls
136,0.0,stationary,walls
137,0.0,stationary,walls
138,0.0,stationary,walls
139,0.4,stationary,walls
140,0.14705882352941177,stationary,walls
141,0.15789473684210525,stationary,walls
142,0.2222222222222222,stationary,walls
143,0.09090909090909091,stationary,walls
144,0.2,stationary,walls
145,0.0,stationary,walls
146,0.10714285714285714,stationary,walls
147,0.12,stationary,walls
148,0.11764705882352941,stationary,walls
149,0.2,stationary,walls
150,0.30434782608695654,stationary,walls
151,0.0,stationary,walls
152,0.2,stationary,walls
153,0.1111111111111111,stationary,walls
154,0.15384615384615385,stationary,walls
155,0.17647058823529413,stationary,walls
156,0.42857142857142855,stationary,walls
157,0.0,stationary,walls
158,0.05555555555555555,stationary,walls
159,0.07142857142857142,stationary,walls
160,0.16666666666666666,stationary,walls
161,0.3333333333333333,stationary,walls
162,0.2727272727272727,stationary,walls
163,0.16666666666666666,stationary,walls
164,0.1111111111111111,stationary,walls
165,0.2,stationary,walls
166,0.07692307692307693,stationary,walls
167,0.21739130434782608,stationary,walls
168,0.11764705882352941,stationary,walls
169,0.15789473684210525,stationary,walls
170,0.045454545454545456,stationary,walls
171,0.1,stationary,walls
172,0.0,stationary,walls
173,0.2222222222222222,stationary,walls
174,0.0,stationary,walls
175,0.2413793103448276,stationary,walls
176,0.16,stationary,walls
177,0.5,stationary,walls
178,0.2857142857142857,stationary,walls
179,0.2222222222222222,stationary,walls
180,0.42857142857142855,stationary,walls
181,0.09523809523809523,stationary,walls
182,0.17391304347826086,stationary,walls
183,0.08695652173913043,stationary,walls
184,0.2413793103448276,stationary,walls
185,0.08333333333333333,stationary,walls
186,0.2857142857142857,stationary,walls
187,0.2,stationary,walls
188,0.1111111111111111,stationary,walls
189,0.2,stationary,walls
190,0.09523809523809523,stationary,walls
191,0.125,stationary,walls
192,0.14285714285714285,stationary,walls
193,0.1,stationary,walls
194,0.2222222222222222,stationary,walls
195,0.14814814814814814,stationary,walls
196,0.4444444444444444,stationary,walls
197,0.42857142857142855,stationary,walls
198,0.15625,stationary,walls
199,0.0,stationary,walls
200,0.5,stationary,walls
201,0.047619047619047616,stationary,walls
202,0.1,stationary,walls
203,0.037037037037037035,stationary,walls
204,0.15384615384615385,stationary,walls
205,0.2222222222222222,stationary,walls
206,0.09090909090909091,stationary,walls
207,0.25,stationary,walls
208,0.2222222222222222,stationary,walls
209,0.20689655172413793,stationary,walls
210,0.23529411764705882,stationary,walls
211,0.2857142857142857,stationary,walls
212,0.09090909090909091,stationary,walls
213,0.4444444444444444,stationary,walls
214,0.15789473684210525,stationary,walls
215,0.07142857142857142,stationary,walls
216,0.10526315789473684,stationary,walls
217,0.2222222222222222,stationary,walls
218,0.14285714285714285,stationary,walls
219,0.2727272727272727,stationary,walls
220,0.0,stationary,walls
221,0.0,stationary,walls
222,0.25,stationary,walls
223,0.3125,stationary,walls
224,0.16,stationary,walls
225,0.2,stationary,walls
226,0.07692307692307693,stationary,walls
227,0.08,stationary,walls
228,0.08,stationary,walls
229,0.13043478260869565,stationary,walls
230,0.0,stationary,walls
231,0.26666666666666666,stationary,walls
232,0.09523809523809523,stationary,walls
233,0.0,stationary,walls
234,0.08,stationary,walls
235,0.3333333333333333,stationary,walls
236,0.2857142857142857,stationary,walls
237,0.16,stationary,walls
238,0.22580645161290322,stationary,walls
239,0.12903225806451613,stationary,walls
240,0.16666666666666666,stationary,walls
241,0.125,stationary,walls
242,0.1,stationary,walls
243,0.1111111111111111,stationary,walls
244,0.0,stationary,walls
245,0.11764705882352941,stationary,walls
246,0.0,stationary,walls
247,0.1,stationary,walls
248,0.10526315789473684,stationary,walls
249,0.08,stationary,walls
250,0.09090909090909091,stationary,walls
251,0.15789473684210525,stationary,walls
252,0.35,stationary,walls
253,0.09090909090909091,stationary,walls
254,0.17391304347826086,stationary,walls
255,0.17857142857142858,stationary,walls
256,0.25,stationary,walls
257,0.09090909090909091,stationary,walls
258,0.47058823529411764,stationary,walls
259,0.3333333333333333,stationary,walls
260,0.07142857142857142,stationary,walls
261,0.15,stationary,walls
262,0.2,stationary,walls
263,0.3333333333333333,stationary,walls
264,0.125,stationary,walls
265,0.15,stationary,walls
266,0.25,stationary,walls
267,0.41304347826086957,stationary,walls
268,0.15,stationary,walls
269,0.2,stationary,walls
270,0.21428571428571427,stationary,walls
271,0.14285714285714285,stationary,walls
272,0.25,stationary,walls
273,0.18181818181818182,stationary,walls
274,0.17857142857142858,stationary,walls
275,0.22727272727272727,stationary,walls
276,0.2,stationary,walls
277,0.23529411764705882,stationary,walls
278,0.0,stationary,walls
279,0.26666666666666666,stationary,walls
280,0.16666666666666666,stationary,walls
281,0.125,stationary,walls
282,0.1,stationary,walls
283,0.3125,stationary,walls
284,0.07142857142857142,stationary,walls
285,0.2222222222222222,stationary,walls
286,0.058823529411764705,stationary,walls
287,0.4,stationary,walls
288,0.13333333333333333,stationary,walls
289,0.24,stationary,walls
290,0.20833333333333334,stationary,walls
291,0.0,stationary,walls
292,0.10714285714285714,stationary,walls
293,0.13043478260869565,stationary,walls
294,0.25,stationary,walls
295,0.25,stationary,walls
296,0.375,stationary,walls
297,0.08695652173913043,stationary,walls
298,0.07142857142857142,stationary,walls
299,0.05555555555555555,stationary,walls
300,0.0,stationary,walls
301,0.043478260869565216,stationary,walls
302,0.09090909090909091,stationary,walls
303,0.15789473684210525,stationary,walls
304,0.18181818181818182,stationary,walls
305,0.0,stationary,walls
306,0.125,stationary,walls
307,0.18181818181818182,stationary,walls
308,0.21428571428571427,stationary,walls
309,0.0,stationary,walls
310,0.125,stationary,walls
311,0.05263157894736842,stationary,walls
312,0.2222222222222222,stationary,walls
313,0.09523809523809523,stationary,walls
314,0.14285714285714285,stationary,walls
315,0.09523809523809523,stationary,walls
316,0.0,stationary,walls
317,0.125,stationary,walls
318,0.08695652173913043,stationary,walls
319,0.16666666666666666,stationary,walls
320,0.23076923076923078,stationary,walls
321,0.25,stationary,walls
322,0.18181818181818182,stationary,walls
323,0.0,stationary,walls
324,0.20689655172413793,stationary,walls
325,0.06451612903225806,stationary,walls
326,0.07692307692307693,stationary,walls
327,0.07692307692307693,stationary,walls
328,0.25,stationary,walls
329,0.0,stationary,walls
330,0.18181818181818182,stationary,walls
331,0.125,stationary,walls
332,1.0,stationary,walls
333,0.13043478260869565,stationary,walls
334,0.14285714285714285,stationary,walls
335,0.13333333333333333,stationary,walls
336,0.5555555555555556,stationary,walls
337,0.29411764705882354,stationary,walls
338,0.19047619047619047,stationary,walls
339,0.15384615384615385,stationary,walls
340,0.05555555555555555,stationary,walls
341,0.08333333333333333,stationary,walls
342,0.14285714285714285,stationary,walls
343,0.2962962962962963,stationary,walls
344,0.2,stationary,walls
345,0.42857142857142855,stationary,walls
346,0.3333333333333333,stationary,walls
347,0.13333333333333333,stationary,walls
348,0.2,stationary,walls
349,0.21052631578947367,stationary,walls
350,0.11904761904761904,stationary,walls
351,0.15384615384615385,stationary,walls
352,0.3333333333333333,stationary,walls
353,0.5384615384615384,stationary,walls
354,0.04,stationary,walls
355,0.25,stationary,walls
356,0.30434782608695654,stationary,walls
357,0.13333333333333333,stationary,walls
358,0.14285714285714285,stationary,walls
359,0.0,stationary,walls
360,0.21428571428571427,stationary,walls
361,0.36363636363636365,stationary,walls
362,0.2,stationary,walls
363,0.2857142857142857,stationary,walls
364,0.13333333333333333,stationary,walls
