round,accuracy,self,enemy
0,0.375,walls,both
1,0.25,walls,both
3,0.2,walls,both
4,0.3,walls,both
7,0.16666666666666666,walls,both
8,0.24444444444444444,walls,both
9,0.2631578947368421,walls,both
10,0.25806451612903225,walls,both
11,0.1111111111111111,walls,both
14,0.1,walls,both
15,0.17857142857142858,walls,both
16,0.2,walls,both
17,0.4,walls,both
18,0.782608695652174,walls,both
20,0.3333333333333333,walls,both
21,0.358974358974359,walls,both
22,0.34782608695652173,walls,both
23,0.4074074074074074,walls,both
24,0.14285714285714285,walls,both
25,0.21739130434782608,walls,both
26,0.05,walls,both
28,0.25,walls,both
29,0.5,walls,both
31,0.2926829268292683,walls,both
32,0.15625,walls,both
33,0.0,walls,both
34,0.16216216216216217,walls,both
35,0.4864864864864865,walls,both
36,0.2727272727272727,walls,both
38,0.5789473684210527,walls,both
41,0.045454545454545456,walls,both
42,0.65,walls,both
43,0.18181818181818182,walls,both
45,0.391304347826087,walls,both
46,0.11904761904761904,walls,both
47,0.13793103448275862,walls,both
48,0.2777777777777778,walls,both
49,0.15384615384615385,walls,both
50,0.34210526315789475,walls,both
51,0.2727272727272727,walls,both
52,0.23809523809523808,walls,both
53,0.40625,walls,both
54,0.11538461538461539,walls,both
56,0.5217391304347826,walls,both
57,0.4375,walls,both
58,0.3793103448275862,walls,both
60,0.30952380952380953,walls,both
62,0.14285714285714285,walls,both
63,0.35,walls,both
64,0.19230769230769232,walls,both
66,0.125,walls,both
67,0.3333333333333333,walls,both
68,0.3235294117647059,walls,both
69,0.22448979591836735,walls,both
70,0.18181818181818182,walls,both
71,0.7407407407407407,walls,both
72,0.5555555555555556,walls,both
73,0.18604651162790697,walls,both
74,0.1724137931034483,walls,both
76,0.18518518518518517,walls,both
78,0.18518518518518517,walls,both
80,0.2,walls,both
81,0.35555555555555557,walls,both
82,0.4444444444444444,walls,both
83,0.3695652173913043,walls,both
84,0.10526315789473684,walls,both
85,0.3157894736842105,walls,both
88,0.19230769230769232,walls,both
89,0.2926829268292683,walls,both
91,0.18181818181818182,walls,both
92,0.2777777777777778,walls,both
93,0.24242424242424243,walls,both
94,0.15384615384615385,walls,both
95,0.20454545454545456,walls,both
96,0.21621621621621623,walls,both
97,0.20833333333333334,walls,both
98,0.14285714285714285,walls,both
99,0.2222222222222222,walls,both
100,0.4,walls,both
101,0.15384615384615385,walls,both
103,0.23529411764705882,walls,both
104,0.2857142857142857,walls,both
105,0.3076923076923077,walls,both
107,0.0,walls,both
109,0.3333333333333333,walls,both
110,0.3333333333333333,walls,both
111,0.08695652173913043,walls,both
112,0.37142857142857144,walls,both
115,0.10256410256410256,walls,both
116,0.2727272727272727,walls,both
117,0.28205128205128205,walls,both
120,0.08333333333333333,walls,both
121,0.0967741935483871,walls,both
122,0.25925925925925924,walls,both
124,0.17857142857142858,walls,both
125,0.375,walls,both
126,0.2916666666666667,walls,both
127,0.3157894736842105,walls,both
128,0.2222222222222222,walls,both
129,0.2,walls,both
131,0.2702702702702703,walls,both
132,0.17073170731707318,walls,both
133,0.2,walls,both
134,0.2608695652173913,walls,both
135,0.23076923076923078,walls,both
136,0.19148936170212766,walls,both
137,0.2692307692307692,walls,both
138,0.5263157894736842,walls,both
139,0.15384615384615385,walls,both
140,0.4666666666666667,walls,both
141,0.6666666666666666,walls,both
142,0.1,walls,both
143,0.15384615384615385,walls,both
144,0.3157894736842105,walls,both
147,0.2857142857142857,walls,both
148,0.28125,walls,both
149,0.25,walls,both
150,0.46153846153846156,walls,both
151,0.125,walls,both
152,0.34375,walls,both
153,0.3333333333333333,walls,both
154,0.15789473684210525,walls,both
157,0.2727272727272727,walls,both
158,0.3142857142857143,walls,both
160,0.25,walls,both
161,0.3611111111111111,walls,both
163,0.41379310344827586,walls,both
164,0.23076923076923078,walls,both
165,0.23684210526315788,walls,both
166,0.11428571428571428,walls,both
167,0.38461538461538464,walls,both
168,0.5384615384615384,walls,both
169,0.16666666666666666,walls,both
170,0.041666666666666664,walls,both
171,0.16129032258064516,walls,both
172,0.2608695652173913,walls,both
173,0.2962962962962963,walls,both
174,0.2631578947368421,walls,both
175,0.15217391304347827,walls,both
176,0.25,walls,both
178,0.06666666666666667,walls,both
179,0.2222222222222222,walls,both
180,0.15384615384615385,walls,both
181,0.20588235294117646,walls,both
183,0.3142857142857143,walls,both
186,0.1935483870967742,walls,both
188,0.125,walls,both
189,0.27450980392156865,walls,both
190,0.5357142857142857,walls,both
191,0.2631578947368421,walls,both
192,0.3181818181818182,walls,both
193,0.4482758620689655,walls,both
194,0.23076923076923078,walls,both
196,0.06666666666666667,walls,both
197,0.2571428571428571,walls,both
198,0.2,walls,both
199,0.2631578947368421,walls,both
200,0.17391304347826086,walls,both
201,0.4444444444444444,walls,both
202,0.26666666666666666,walls,both
205,0.125,walls,both
206,0.2777777777777778,walls,both
207,0.34,walls,both
210,0.28125,walls,both
212,0.9230769230769231,walls,both
213,0.34375,walls,both
214,0.1388888888888889,walls,both
215,0.24242424242424243,walls,both
216,0.3181818181818182,walls,both
217,0.23333333333333334,walls,both
218,0.35714285714285715,walls,both
219,0.2222222222222222,walls,both
220,0.25,walls,both
221,0.2608695652173913,walls,both
222,0.13333333333333333,walls,both
223,0.17391304347826086,walls,both
224,0.08333333333333333,walls,both
226,0.2564102564102564,walls,both
227,0.15151515151515152,walls,both
228,0.42105263157894735,walls,both
229,0.4,walls,both
230,0.2702702702702703,walls,both
233,0.15151515151515152,walls,both
234,0.19047619047619047,walls,both
235,0.1111111111111111,walls,both
236,0.2857142857142857,walls,both
238,0.2,walls,both
240,0.47058823529411764,walls,both
241,0.2413793103448276,walls,both
242,0.3333333333333333,walls,both
244,0.2,walls,both
245,0.12903225806451613,walls,both
247,0.125,walls,both
248,0.14285714285714285,walls,both
249,0.26666666666666666,walls,both
252,0.2857142857142857,walls,both
253,0.4864864864864865,walls,both
254,0.3076923076923077,walls,both
255,0.2702702702702703,walls,both
256,0.2,walls,both
258,0.4358974358974359,walls,both
259,0.7,walls,both
260,0.46875,walls,both
262,0.3225806451612903,walls,both
263,0.2413793103448276,walls,both
264,0.23529411764705882,walls,both
265,0.11538461538461539,walls,both
267,0.19230769230769232,walls,both
268,0.4772727272727273,walls,both
269,0.17857142857142858,walls,both
270,0.3103448275862069,walls,both
271,0.4594594594594595,walls,both
272,0.375,walls,both
273,0.2916666666666667,walls,both
274,0.1111111111111111,walls,both
275,0.3,walls,both
276,0.5333333333333333,walls,both
278,0.16666666666666666,walls,both
279,0.17647058823529413,walls,both
280,0.4594594594594595,walls,both
283,0.35294117647058826,walls,both
284,0.19047619047619047,walls,both
285,0.2,walls,both
286,0.11764705882352941,walls,both
288,0.41935483870967744,walls,both
289,0.3793103448275862,walls,both
294,0.36363636363636365,walls,both
299,0.4117647058823529,walls,both
300,0.3333333333333333,walls,both
302,0.2857142857142857,walls,both
303,0.3103448275862069,walls,both
304,0.2631578947368421,walls,both
305,0.37037037037037035,walls,both
306,0.12121212121212122,walls,both
308,0.225,walls,both
309,0.18518518518518517,walls,both
310,0.40625,walls,both
311,0.3333333333333333,walls,both
312,0.16279069767441862,walls,both
313,0.48484848484848486,walls,both
314,0.14814814814814814,walls,both
315,0.16,walls,both
317,0.34615384615384615,walls,both
318,0.3076923076923077,walls,both
321,0.25,walls,both
322,0.19148936170212766,walls,both
323,0.29411764705882354,walls,both
325,0.2826086956521739,walls,both
326,0.34782608695652173,walls,both
327,0.40540540540540543,walls,both
328,0.3448275862068966,walls,both
330,0.23333333333333334,walls,both
331,0.3076923076923077,walls,both
332,0.21428571428571427,walls,both
333,0.3333333333333333,walls,both
334,0.4444444444444444,walls,both
335,0.3,walls,both
337,0.27586206896551724,walls,both
339,0.3333333333333333,walls,both
341,0.25,walls,both
342,0.34285714285714286,walls,both
343,0.19047619047619047,walls,both
344,0.47368421052631576,walls,both
345,0.37777777777777777,walls,both
348,0.3157894736842105,walls,both
350,0.10714285714285714,walls,both
352,0.3793103448275862,walls,both
353,0.5833333333333334,walls,both
354,0.20689655172413793,walls,both
355,0.041666666666666664,walls,both
356,0.23809523809523808,walls,both
357,0.2833333333333333,walls,both
358,0.4230769230769231,walls,both
359,0.2962962962962963,walls,both
360,0.37037037037037035,walls,both
361,0.3333333333333333,walls,both
362,0.4090909090909091,walls,both
363,0.3,walls,both
364,0.17391304347826086,walls,both
365,0.30952380952380953,walls,both
366,0.1794871794871795,walls,both
367,0.26666666666666666,walls,both
368,0.18181818181818182,walls,both
370,0.19230769230769232,walls,both
372,0.3157894736842105,walls,both
373,0.2608695652173913,walls,both
376,0.391304347826087,walls,both
379,0.20588235294117646,walls,both
380,0.20833333333333334,walls,both
381,0.21739130434782608,walls,both
