round,accuracy,self,enemy
0,0.09009009009009009,walls,stationary
1,0.046511627906976744,walls,stationary
2,0.7307692307692307,walls,stationary
3,0.75,walls,stationary
4,0.3050847457627119,walls,stationary
5,0.0,walls,stationary
6,0.7916666666666666,walls,stationary
7,0.2962962962962963,walls,stationary
8,0.06521739130434782,walls,stationary
9,0.06329113924050633,walls,stationary
10,0.0,walls,stationary
11,0.5,walls,stationary
12,0.20833333333333334,walls,stationary
13,0.0,walls,stationary
14,0.2222222222222222,walls,stationary
15,0.18421052631578946,walls,stationary
16,0.24,walls,stationary
17,0.13559322033898305,walls,stationary
18,0.0,walls,stationary
19,0.05825242718446602,walls,stationary
20,0.1368421052631579,walls,stationary
21,0.1506849315068493,walls,stationary
22,0.19827586206896552,walls,stationary
23,0.08695652173913043,walls,stationary
24,0.0125,walls,stationary
25,0.8888888888888888,walls,stationary
26,0.09259259259259259,walls,stationary
27,0.2631578947368421,walls,stationary
28,0.32786885245901637,walls,stationary
29,0.2804878048780488,walls,stationary
30,0.21100917431192662,walls,stationary
31,0.0,walls,stationary
32,0.08,walls,stationary
33,0.16058394160583941,walls,stationary
34,0.2535211267605634,walls,stationary
35,0.0,walls,stationary
36,0.0,walls,stationary
37,0.1348314606741573,walls,stationary
38,0.2564102564102564,walls,stationary
39,0.38095238095238093,walls,stationary
40,0.22058823529411764,walls,stationary
41,0.5714285714285714,walls,stationary
42,0.12605042016806722,walls,stationary
43,0.13970588235294118,walls,stationary
44,0.19753086419753085,walls,stationary
45,0.0,walls,stationary
46,0.11570247933884298,walls,stationary
47,0.11538461538461539,walls,stationary
48,0.68,walls,stationary
49,0.7058823529411765,walls,stationary
50,0.11965811965811966,walls,stationary
51,0.07228915662650602,walls,stationary
52,0.18627450980392157,walls,stationary
53,0.06315789473684211,walls,stationary
54,0.22018348623853212,walls,stationary
55,0.0891089108910891,walls,stationary
56,0.1834862385321101,walls,stationary
57,0.3409090909090909,walls,stationary
58,0.1891891891891892,walls,stationary
59,0.7058823529411765,walls,stationary
60,0.12698412698412698,walls,stationary
61,0.12389380530973451,walls,stationary
62,0.8214285714285714,walls,stationary
63,0.15053763440860216,walls,stationary
64,0.33962264150943394,walls,stationary
65,0.041237113402061855,walls,stationary
66,0.128,walls,stationary
67,0.07291666666666667,walls,stationary
68,0.0,walls,stationary
69,0.17647058823529413,walls,stationary
70,0.14285714285714285,walls,stationary
71,0.10743801652892562,walls,stationary
72,0.3333333333333333,walls,stationary
73,0.13513513513513514,walls,stationary
74,0.23684210526315788,walls,stationary
75,0.7741935483870968,walls,stationary
76,0.20270270270270271,walls,stationary
77,0.23880597014925373,walls,stationary
78,0.2463768115942029,walls,stationary
79,0.32075471698113206,walls,stationary
80,0.0,walls,stationary
81,0.1826086956521739,walls,stationary
82,0.036585365853658534,walls,stationary
83,0.4166666666666667,walls,stationary
84,0.3023255813953488,walls,stationary
85,1.0,walls,stationary
86,0.5,walls,stationary
87,0.1619047619047619,walls,stationary
88,0.42,walls,stationary
89,0.27631578947368424,walls,stationary
90,0.01020408163265306,walls,stationary
91,0.0125,walls,stationary
92,0.375,walls,stationary
93,0.0707070707070707,walls,stationary
94,0.039473684210526314,walls,stationary
95,0.47058823529411764,walls,stationary
96,0.4878048780487805,walls,stationary
97,0.4,walls,stationary
98,1.0,walls,stationary
99,0.0,walls,stationary
100,0.5217391304347826,walls,stationary
101,0.19718309859154928,walls,stationary
102,0.2077922077922078,walls,stationary
103,0.20909090909090908,walls,stationary
104,0.12280701754385964,walls,stationary
105,0.22950819672131148,walls,stationary
106,0.0,walls,stationary
107,0.2698412698412698,walls,stationary
108,0.09574468085106383,walls,stationary
109,0.3695652173913043,walls,stationary
110,0.5555555555555556,walls,stationary
111,0.5483870967741935,walls,stationary
112,0.6666666666666666,walls,stationary
113,0.23529411764705882,walls,stationary
114,0.0,walls,stationary
115,0.0,walls,stationary
116,0.03529411764705882,walls,stationary
117,0.13761467889908258,walls,stationary
118,0.07608695652173914,walls,stationary
119,0.1568627450980392,walls,stationary
120,0.034482758620689655,walls,stationary
121,0.0,walls,stationary
122,0.16666666666666666,walls,stationary
123,0.06504065040650407,walls,stationary
124,0.1958762886597938,walls,stationary
125,0.04854368932038835,walls,stationary
126,0.019801980198019802,walls,stationary
127,0.2535211267605634,walls,stationary
128,0.96,walls,stationary
129,0.16,walls,stationary
130,0.0,walls,stationary
131,0.0,walls,stationary
132,0.8214285714285714,walls,stationary
133,0.7419354838709677,walls,stationary
134,0.16379310344827586,walls,stationary
135,0.0,walls,stationary
136,0.8275862068965517,walls,stationary
137,0.4482758620689655,walls,stationary
138,0.0,walls,stationary
139,0.17857142857142858,walls,stationary
140,0.9230769230769231,walls,stationary
141,0.06140350877192982,walls,stationary
142,0.1721311475409836,walls,stationary
143,0.7307692307692307,walls,stationary
144,0.0,walls,stationary
145,0.11864406779661017,walls,stationary
146,0.17037037037037037,walls,stationary
147,0.5,walls,stationary
148,0.2465753424657534,walls,stationary
149,0.38636363636363635,walls,stationary
150,0.03076923076923077,walls,stationary
151,0.23076923076923078,walls,stationary
152,0.7586206896551724,walls,stationary
153,0.52,walls,stationary
154,0.30612244897959184,walls,stationary
155,0.0,walls,stationary
156,0.6486486486486487,walls,stationary
157,0.88,walls,stationary
158,0.53125,walls,stationary
159,0.2765957446808511,walls,stationary
160,0.21153846153846154,walls,stationary
161,0.22784810126582278,walls,stationary
162,0.5,walls,stationary
163,0.16981132075471697,walls,stationary
164,0.9230769230769231,walls,stationary
165,0.5454545454545454,walls,stationary
166,0.2,walls,stationary
167,1.0,walls,stationary
168,0.23076923076923078,walls,stationary
169,0.18095238095238095,walls,stationary
170,0.0,walls,stationary
171,0.9230769230769231,walls,stationary
172,0.13580246913580246,walls,stationary
173,0.27906976744186046,walls,stationary
174,0.06329113924050633,walls,stationary
175,0.12631578947368421,walls,stationary
176,0.0,walls,stationary
177,1.0,walls,stationary
178,0.2708333333333333,walls,stationary
179,0.0,walls,stationary
180,0.09523809523809523,walls,stationary
181,0.6206896551724138,walls,stationary
182,0.12844036697247707,walls,stationary
183,0.14583333333333334,walls,stationary
184,0.07216494845360824,walls,stationary
185,0.075,walls,stationary
186,0.5151515151515151,walls,stationary
187,0.19166666666666668,walls,stationary
188,0.8275862068965517,walls,stationary
189,0.0,walls,stationary
190,0.17777777777777778,walls,stationary
191,0.03409090909090909,walls,stationary
192,0.11475409836065574,walls,stationary
193,0.3382352941176471,walls,stationary
194,0.27631578947368424,walls,stationary
195,0.0,walls,stationary
196,0.12598425196850394,walls,stationary
197,0.054945054945054944,walls,stationary
198,0.10294117647058823,walls,stationary
199,0.14606741573033707,walls,stationary
200,0.11926605504587157,walls,stationary
201,0.4722222222222222,walls,stationary
202,0.15,walls,stationary
203,0.27419354838709675,walls,stationary
204,0.5652173913043478,walls,stationary
205,0.19148936170212766,walls,stationary
206,0.5,walls,stationary
207,0.5333333333333333,walls,stationary
208,0.8846153846153846,walls,stationary
209,0.19672131147540983,walls,stationary
210,0.0,walls,stationary
211,0.24,walls,stationary
212,0.7741935483870968,walls,stationary
213,0.5945945945945946,walls,stationary
214,1.0,walls,stationary
215,0.875,walls,stationary
216,0.6666666666666666,walls,stationary
217,0.12359550561797752,walls,stationary
218,0.23076923076923078,walls,stationary
219,0.07920792079207921,walls,stationary
220,0.3902439024390244,walls,stationary
221,0.09166666666666666,walls,stationary
222,0.5,walls,stationary
223,0.13402061855670103,walls,stationary
224,0.036585365853658534,walls,stationary
225,0.1875,walls,stationary
226,0.14678899082568808,walls,stationary
227,0.5,walls,stationary
228,0.12931034482758622,walls,stationary
229,0.09821428571428571,walls,stationary
230,0.3333333333333333,walls,stationary
231,0.1518987341772152,walls,stationary
232,0.0,walls,stationary
233,0.0,walls,stationary
234,0.5588235294117647,walls,stationary
235,0.010638297872340425,walls,stationary
236,0.4375,walls,stationary
237,1.0,walls,stationary
238,0.8846153846153846,walls,stationary
239,0.1044776119402985,walls,stationary
240,0.104,walls,stationary
241,0.3018867924528302,walls,stationary
242,0.41935483870967744,walls,stationary
243,0.13071895424836602,walls,stationary
244,0.0,walls,stationary
245,0.06896551724137931,walls,stationary
246,0.9230769230769231,walls,stationary
247,0.1276595744680851,walls,stationary
248,0.11029411764705882,walls,stationary
249,0.5,walls,stationary
250,0.29411764705882354,walls,stationary
251,0.36666666666666664,walls,stationary
252,0.04477611940298507,walls,stationary
253,0.2982456140350877,walls,stationary
254,0.09322033898305085,walls,stationary
255,0.16853932584269662,walls,stationary
256,0.17391304347826086,walls,stationary
257,0.0970873786407767,walls,stationary
258,0.5675675675675675,walls,stationary
259,0.13402061855670103,walls,stationary
260,0.5333333333333333,walls,stationary
261,0.2018348623853211,walls,stationary
262,0.23376623376623376,walls,stationary
263,0.575,walls,stationary
264,0.8888888888888888,walls,stationary
265,0.3225806451612903,walls,stationary
266,0.7586206896551724,walls,stationary
267,0.5348837209302325,walls,stationary
268,0.05813953488372093,walls,stationary
269,0.96,walls,stationary
270,0.18666666666666668,walls,stationary
271,0.5238095238095238,walls,stationary
272,0.7419354838709677,walls,stationary
273,0.0,walls,stationary
274,0.1836734693877551,walls,stationary
275,0.0,walls,stationary
276,0.019801980198019802,walls,stationary
277,0.14563106796116504,walls,stationary
278,0.05454545454545454,walls,stationary
279,0.16091954022988506,walls,stationary
280,0.35294117647058826,walls,stationary
281,0.125,walls,stationary
282,0.4634146341463415,walls,stationary
283,0.26136363636363635,walls,stationary
284,0.13541666666666666,walls,stationary
285,0.02857142857142857,walls,stationary
286,0.14285714285714285,walls,stationary
287,0.13821138211382114,walls,stationary
288,0.0,walls,stationary
289,0.15873015873015872,walls,stationary
290,0.04807692307692308,walls,stationary
291,0.425,walls,stationary
292,0.0,walls,stationary
293,0.3333333333333333,walls,stationary
294,0.07627118644067797,walls,stationary
295,0.145985401459854,walls,stationary
296,0.6875,walls,stationary
297,0.11194029850746269,walls,stationary
298,0.3888888888888889,walls,stationary
299,0.5789473684210527,walls,stationary
300,0.5925925925925926,walls,stationary
301,0.7741935483870968,walls,stationary
302,0.2807017543859649,walls,stationary
303,0.6470588235294118,walls,stationary
304,0.9230769230769231,walls,stationary
305,0.20833333333333334,walls,stationary
306,0.1317365269461078,walls,stationary
307,0.16831683168316833,walls,stationary
308,0.0,walls,stationary
309,0.0,walls,stationary
310,0.1553398058252427,walls,stationary
311,0.0975609756097561,walls,stationary
312,0.07692307692307693,walls,stationary
313,0.5106382978723404,walls,stationary
314,0.0,walls,stationary
315,0.4827586206896552,walls,stationary
316,0.19791666666666666,walls,stationary
317,0.7931034482758621,walls,stationary
318,0.7916666666666666,walls,stationary
319,0.04878048780487805,walls,stationary
320,0.14666666666666667,walls,stationary
321,0.09523809523809523,walls,stationary
322,0.8461538461538461,walls,stationary
323,0.34328358208955223,walls,stationary
324,0.07627118644067797,walls,stationary
325,0.18518518518518517,walls,stationary
326,0.18292682926829268,walls,stationary
327,0.0136986301369863,walls,stationary
328,0.0,walls,stationary
329,0.11267605633802817,walls,stationary
