round,accuracy,self,enemy
0,0.5,walls,walls
1,0.29411764705882354,walls,walls
2,0.4444444444444444,walls,walls
3,0.5294117647058824,walls,walls
4,0.16666666666666666,walls,walls
5,0.21739130434782608,walls,walls
6,0.5,walls,walls
7,0.75,walls,walls
8,0.32558139534883723,walls,walls
9,0.6,walls,walls
10,0.24,walls,walls
11,0.35714285714285715,walls,walls
12,0.25,walls,walls
13,0.14285714285714285,walls,walls
14,0.16666666666666666,walls,walls
15,0.0,walls,walls
16,0.42857142857142855,walls,walls
17,0.07317073170731707,walls,walls
18,0.0,walls,walls
19,0.25,walls,walls
20,0.125,walls,walls
21,0.29411764705882354,walls,walls
22,0.13333333333333333,walls,walls
23,0.2777777777777778,walls,walls
24,0.26666666666666666,walls,walls
25,0.2727272727272727,walls,walls
26,0.325,walls,walls
27,0.0,walls,walls
28,0.2857142857142857,walls,walls
29,0.2727272727272727,walls,walls
30,0.19047619047619047,walls,walls
31,0.08333333333333333,walls,walls
32,0.13333333333333333,walls,walls
33,0.3076923076923077,walls,walls
34,0.24,walls,walls
35,0.2571428571428571,walls,walls
36,0.2,walls,walls
37,0.18181818181818182,walls,walls
38,0.08333333333333333,walls,walls
39,0.4583333333333333,walls,walls
40,0.25,walls,walls
41,0.14285714285714285,walls,walls
42,0.2727272727272727,walls,walls
43,0.15789473684210525,walls,walls
44,0.16666666666666666,walls,walls
45,0.3333333333333333,walls,walls
46,0.24,walls,walls
47,0.0,walls,walls
48,0.09090909090909091,walls,walls
49,0.1,walls,walls
50,0.35,walls,walls
51,0.2916666666666667,walls,walls
52,0.14285714285714285,walls,walls
53,0.34782608695652173,walls,walls
54,0.23076923076923078,walls,walls
55,0.2,walls,walls
56,0.19047619047619047,walls,walls
57,0.25,walls,walls
58,0.0,walls,walls
59,0.21739130434782608,walls,walls
60,0.23529411764705882,walls,walls
61,0.2777777777777778,walls,walls
62,0.36363636363636365,walls,walls
63,0.15384615384615385,walls,walls
64,0.19230769230769232,walls,walls
65,0.23529411764705882,walls,walls
66,0.5,walls,walls
67,0.23529411764705882,walls,walls
68,0.2608695652173913,walls,walls
69,0.4,walls,walls
70,0.1111111111111111,walls,walls
71,0.0,walls,walls
72,0.23529411764705882,walls,walls
73,0.18181818181818182,walls,walls
74,0.2,walls,walls
75,0.5,walls,walls
76,0.18181818181818182,walls,walls
77,0.0,walls,walls
78,0.2,walls,walls
79,0.16666666666666666,walls,walls
80,0.42857142857142855,walls,walls
81,0.5,walls,walls
82,0.2857142857142857,walls,walls
83,0.3157894736842105,walls,walls
84,0.2222222222222222,walls,walls
85,0.0,walls,walls
86,0.3333333333333333,walls,walls
87,0.05,walls,walls
88,0.5,walls,walls
89,0.22727272727272727,walls,walls
90,0.20689655172413793,walls,walls
91,0.18181818181818182,walls,walls
92,0.25,walls,walls
93,0.08333333333333333,walls,walls
94,0.0,walls,walls
95,0.125,walls,walls
96,0.32,walls,walls
97,0.20512820512820512,walls,walls
98,0.3,walls,walls
99,0.16666666666666666,walls,walls
100,0.18181818181818182,walls,walls
101,0.2857142857142857,walls,walls
102,0.15625,walls,walls
103,0.0,walls,walls
104,0.20689655172413793,walls,walls
105,0.4166666666666667,walls,walls
106,0.36363636363636365,walls,walls
107,0.25,walls,walls
108,0.3333333333333333,walls,walls
109,0.2916666666666667,walls,walls
110,0.375,walls,walls
111,0.0,walls,walls
112,0.3333333333333333,walls,walls
113,0.25,walls,walls
114,0.2,walls,walls
115,0.32142857142857145,walls,walls
116,0.1111111111111111,walls,walls
117,0.2727272727272727,walls,walls
118,0.1111111111111111,walls,walls
119,0.06666666666666667,walls,walls
120,0.2,walls,walls
121,0.25,walls,walls
122,0.3,walls,walls
123,0.2,walls,walls
124,0.0,walls,walls
125,0.2,walls,walls
126,0.2413793103448276,walls,walls
127,0.3333333333333333,walls,walls
128,0.34375,walls,walls
129,0.2,walls,walls
130,0.17647058823529413,walls,walls
131,0.25,walls,walls
132,0.125,walls,walls
133,0.25925925925925924,walls,walls
134,0.25,walls,walls
135,0.2692307692307692,walls,walls
136,0.23809523809523808,walls,walls
137,0.21428571428571427,walls,walls
138,0.34615384615384615,walls,walls
139,0.16666666666666666,walls,walls
140,0.3181818181818182,walls,walls
141,0.2,walls,walls
142,0.16666666666666666,walls,walls
143,0.5,walls,walls
144,0.25,walls,walls
145,0.5,walls,walls
146,0.6666666666666666,walls,walls
147,0.16666666666666666,walls,walls
148,0.28125,walls,walls
149,0.5,walls,walls
150,0.3225806451612903,walls,walls
151,0.21428571428571427,walls,walls
152,0.6666666666666666,walls,walls
153,0.23076923076923078,walls,walls
154,0.10714285714285714,walls,walls
155,0.2631578947368421,walls,walls
156,0.32432432432432434,walls,walls
157,0.2727272727272727,walls,walls
158,0.2,walls,walls
159,0.26666666666666666,walls,walls
160,0.2,walls,walls
161,0.0,walls,walls
162,0.1111111111111111,walls,walls
163,0.35714285714285715,walls,walls
164,0.2857142857142857,walls,walls
165,0.18518518518518517,walls,walls
166,0.4166666666666667,walls,walls
167,0.25,walls,walls
168,0.0,walls,walls
169,0.21428571428571427,walls,walls
170,0.2857142857142857,walls,walls
171,0.14285714285714285,walls,walls
172,0.5,walls,walls
173,0.14634146341463414,walls,walls
174,0.125,walls,walls
175,0.13793103448275862,walls,walls
176,0.15,walls,walls
177,0.25,walls,walls
178,0.13636363636363635,walls,walls
179,0.14285714285714285,walls,walls
180,0.21052631578947367,walls,walls
181,0.23529411764705882,walls,walls
182,0.2,walls,walls
183,0.17647058823529413,walls,walls
184,0.3076923076923077,walls,walls
185,0.14285714285714285,walls,walls
186,0.1111111111111111,walls,walls
