nome,importancia,custo
Opcao 1,465,22
Opcao 2,405,92
Opcao 3,174,64
Opcao 4,122,92
Opcao 5,177,94
Opcao 6,270,99
Opcao 7,419,1
Opcao 8,152,39
Opcao 9,107,51
Opcao 10,413,97
Opcao 11,68,3
Opcao 12,321,61
Opcao 13,110,61
Opcao 14,147,27
Opcao 15,431,44
Opcao 16,205,83
Opcao 17,235,92
Opcao 18,97,8
Opcao 19,257,80
Opcao 20,38,82
Opcao 21,237,80
Opcao 22,185,72
Opcao 23,206,31
Opcao 24,109,72
Opcao 25,273,84
Opcao 26,470,67
Opcao 27,408,41
Opcao 28,405,81
Opcao 29,244,67
Opcao 30,42,83
Opcao 31,329,47
Opcao 32,494,17
Opcao 33,426,23
Opcao 34,379,15
Opcao 35,415,13
Opcao 36,445,9
Opcao 37,436,44
Opcao 38,55,81
Opcao 39,139,54
Opcao 40,249,28
Opcao 41,45,13
Opcao 42,262,60
Opcao 43,5,66
Opcao 44,442,80
Opcao 45,410,43
Opcao 46,10,6
Opcao 47,359,27
Opcao 48,206,37
Opcao 49,423,58
Opcao 50,355,46
Opcao 51,452,44
Opcao 52,328,77
Opcao 53,86,57
Opcao 54,283,69
Opcao 55,160,14
Opcao 56,445,16
Opcao 57,116,17
Opcao 58,325,44
Opcao 59,485,47
Opcao 60,449,52
Opcao 61,337,29
Opcao 62,108,99
Opcao 63,106,29
Opcao 64,405,79
Opcao 65,366,95
Opcao 66,416,73
Opcao 67,136,9
Opcao 68,217,94
Opcao 69,124,75
Opcao 70,399,63
Opcao 71,489,31
Opcao 72,100,5
Opcao 73,310,22
Opcao 74,309,17
Opcao 75,368,19
Opcao 76,260,31
Opcao 77,122,93
Opcao 78,121,66
Opcao 79,243,32
Opcao 80,386,2
Opcao 81,317,24
Opcao 82,53,8
Opcao 83,472,77
Opcao 84,312,85
Opcao 85,489,13
Opcao 86,383,93
Opcao 87,226,68
Opcao 88,321,8
Opcao 89,381,22
Opcao 90,11,72
Opcao 91,328,66
Opcao 92,216,10
Opcao 93,35,69
Opcao 94,18,28
Opcao 95,269,96
Opcao 96,309,8
Opcao 97,152,88
Opcao 98,424,85
Opcao 99,264,3
Opcao 100,35,72
