500000,,
Opcao 1,8096,44889
Opcao 2,67581,29328
Opcao 3,12682,30402
Opcao 4,32762,45873
Opcao 5,3253,31480
Opcao 6,70983,6795
Opcao 7,37044,15340
Opcao 8,3933,49417
Opcao 9,93963,48438
Opcao 10,22288,48523
Opcao 11,5420,31378
Opcao 12,85914,28507
Opcao 13,61550,8584
Opcao 14,30113,10004
Opcao 15,56365,906
Opcao 16,25453,44865
Opcao 17,6751,30113
Opcao 18,29305,22628
Opcao 19,45725,46004
Opcao 20,14717,28507
Opcao 21,29329,32297
Opcao 22,39488,14543
Opcao 23,99045,41441
Opcao 24,37172,42470
Opcao 25,98437,20336
Opcao 26,47967,25330
Opcao 27,71158,25052
Opcao 28,26096,29555
Opcao 29,36281,38868
Opcao 30,40287,45390
Opcao 31,91628,42301
Opcao 32,43479,49913
Opcao 33,83276,18690
Opcao 34,8854,7831
Opcao 35,73278,3891
Opcao 36,83189,3501
Opcao 37,62980,12692
Opcao 38,80312,46632
Opcao 39,87696,38793
Opcao 40,51646,30716
Opcao 41,93332,15197
Opcao 42,15729,9930
Opcao 43,66372,30247
Opcao 44,81661,47830
Opcao 45,97029,33454
Opcao 46,54135,31362
Opcao 47,69068,28927
Opcao 48,90689,1252
Opcao 49,48403,31352
Opcao 50,89627,15585
Opcao 51,72015,45754
Opcao 52,3401,16098
Opcao 53,56700,43129
Opcao 54,94962,36323
Opcao 55,67725,36626
Opcao 56,20330,20050
Opcao 57,26437,9235
Opcao 58,30471,26601
Opcao 59,35476,2737
Opcao 60,29272,43102
Opcao 61,54321,17409
Opcao 62,6110,11168
Opcao 63,36944,43068
Opcao 64,24184,27388
Opcao 65,19209,39505
Opcao 66,96618,40561
Opcao 67,14976,10168
Opcao 68,17530,29032
Opcao 69,96684,38610
Opcao 70,44970,34722
Opcao 71,25188,36372
Opcao 72,6326,5700
Opcao 73,83024,31630
Opcao 74,27725,31646
Opcao 75,9822,15257
Opcao 76,79576,9377
Opcao 77,44732,29653
Opcao 78,97362,13142
Opcao 79,31238,42320
Opcao 80,35380,43786
Opcao 81,19209,42129
Opcao 82,61312,45471
Opcao 83,18428,39598
Opcao 84,9654,49819
Opcao 85,79805,21174
Opcao 86,5169,27340
Opcao 87,44109,11297
Opcao 88,5249,346
Opcao 89,44168,39188
Opcao 90,18435,31568
Opcao 91,42245,1335
Opcao 92,50164,17905
Opcao 93,48685,36335
Opcao 94,35139,9557
Opcao 95,96242,49170
Opcao 96,6658,24838
Opcao 97,33752,44444
Opcao 98,58840,49656
Opcao 99,76605,17290
Opcao 100,99208,45727
